p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,82832.31023616849,51591.900140990285,51640.85739400709,17,17
0,0,1,82568.29287895563,39524.80979519378,39579.20085006636,17,17
0,0,2,82249.7416939129,39160.627665919565,39220.45134021935,17,17
0,0,3,82098.48976477557,38984.411157414455,39049.66626765957,17,17
0,0,4,81818.33048489368,38849.030417934,38919.715779587605,17,17
0,0,5,81907.98604114342,38891.6847048237,38967.799132292275,17,17
0,0,6,81874.92653320529,38856.03303071409,38937.575337345785,17,17
0,1,0,48223.24710808268,47973.68988132209,48022.641830707405,17,17
0,1,1,47721.191697841445,36487.86232356927,36542.24748202361,17,17
0,1,2,55842.15121727494,36442.38981712652,36502.20700151787,17,17
0,1,3,55319.05790351495,36395.7535468104,36461.00157295219,17,17
0,1,4,53857.30349565019,36344.26821442889,36414.945897078294,17,17
0,1,5,48328.24781203382,36323.28220213103,36399.38835498726,17,17
0,1,6,50316.8819435133,36296.78098459419,36378.31442029688,17,17
1,0,0,73339.52947107982,36985.70878253881,37040.10573033527,17,17
1,0,1,64480.91070472049,36482.80745250266,36542.63761286249,17,17
1,0,2,64254.02488907506,36449.56553145498,36514.827721600195,17,17
1,0,3,57507.26838310797,36410.03335080897,36480.72638690785,17,17
1,0,4,56808.48295327371,36351.8806246078,36428.00332177322,17,17
1,0,5,56875.360976166085,36331.6031925913,36413.15436487907,17,17
1,0,6,57328.99766659573,36297.57888590518,36384.557346312315,17,17
1,1,0,47926.816860692416,36735.03608360886,36789.42713848144,17,17
1,1,1,49795.972373072196,36440.69410974327,36500.51778404305,17,17
1,1,2,49656.04639764241,36396.73252996621,36461.98764021132,17,17
1,1,3,49558.8677520418,36366.23956822763,36436.924929881236,17,17
1,1,4,50284.08598795501,36340.19402886905,36416.308456337625,17,17
1,1,5,50328.1815309789,36320.211409770964,36401.75371640264,17,17
1,1,6,49682.86508388526,36297.877554928375,36384.84655301126,17,17
2,0,0,68473.95891455309,36691.39516069314,36751.22532105297,17,17
2,0,1,64378.0331258235,36477.233731979206,36542.50299782629,17,17
2,0,2,60111.10186494926,36481.35877828895,36552.0594842796,17,17
2,0,3,57466.556584473146,36385.548449361595,36461.67941131423,17,17
2,0,4,56490.22802495742,36347.61618727052,36429.17621994776,17,17
2,0,5,56641.26173363409,36328.73282782862,36415.72074493557,17,17
2,0,6,56927.60971467795,36293.48048820998,36385.89510239254,17,17
2,1,0,50686.23409773781,36638.247486989574,36698.07116128935,17,17
2,1,1,51088.41436467525,36420.36874771543,36485.630937860646,17,17
2,1,2,60189.16124362162,36389.52998809068,36460.22302418956,17,17
2,1,3,49011.995647355005,36370.45108910637,36446.573786271794,17,17
2,1,4,56284.76065223114,36336.59595771901,36418.147130006764,17,17
2,1,5,49519.95525779658,36301.14896891016,36388.12742931729,17,17
2,1,6,49366.55751778948,36279.757297548895,36372.161858011954,17,17
3,0,0,66857.35651892763,36607.23251697495,36672.49470712016,17,17
3,0,1,64550.43846725607,36467.03794902722,36537.73865501787,17,17
3,0,2,59539.84900493265,36436.9367233103,36513.07594514638,17,17
3,0,3,57036.29591884634,36398.136266602145,36479.705154408526,17,17
3,0,4,57126.45078664585,36351.99515206083,36438.99252024989,17,17
3,0,5,58669.983645224514,36329.28087340879,36421.70553533491,17,17
3,0,6,56868.883531962514,36288.43686259611,36386.28763055413,17,17
3,1,0,54530.80910716268,36532.5682608018,36597.82337104693,17,17
3,1,1,51632.88159830454,36394.8552137399,36465.54824983877,17,17
3,1,2,49918.342088932084,36404.962272972254,36481.09323492489,17,17
3,1,3,52198.231812015445,36371.32464279369,36452.88467547092,17,17
3,1,4,60521.58976697928,36329.358736305556,36416.346653412504,17,17
3,1,5,58481.73150618885,36299.88862698158,36392.303241164154,17,17
3,1,6,59813.508535700596,36271.48522062146,36369.32534346469,17,17
4,0,0,65618.46236577176,36510.972781213415,36581.66581731229,17,17
4,0,1,64429.638689594765,36422.52499905793,36498.65596101057,17,17
4,0,2,58271.54858506963,36397.41918170548,36478.98806951188,17,17
4,0,3,56465.00617830171,36391.13111363501,36478.13792729517,17,17
4,0,4,56658.19477808653,36348.24681533561,36440.68151903647,17,17
4,0,5,58879.3109272443,36333.29052300897,36431.15192975429,17,17
4,0,6,56824.429061348754,36285.39862237514,36388.6855441086,17,17
