p,d,q,AIC,BIC,RMSE
0,0,0,61803.890815184044,61854.26286512735,59333.79558756696
0,0,1,47313.12121646626,47369.0851395069,59140.69869859635
0,0,2,46832.15807720728,46893.71286630218,58994.98567865696
0,0,3,46543.78114223309,46610.92578957934,58820.454143439005
0,0,4,46472.35579022311,46545.089287256924,58719.00853672406
0,0,5,46402.94758772357,46481.26892511929,58586.34206034154
0,0,6,46374.529183579245,46458.43735124832,58472.8314365394
0,1,0,58712.54051079262,58762.9080415292,7144.254969603181
0,1,1,45576.187520447515,45632.1464196247,7370.123215040635
0,1,2,45480.290301851535,45541.83956191893,7841.466253280633
0,1,3,45371.09096899952,45438.22958164611,7395.706860948783
0,1,4,45280.65541587715,45353.38237203032,7263.581747281485
0,1,5,45260.0531889158,45338.36747874027,7243.937114298522
0,1,6,45226.54392615547,45310.44453905229,7214.195618966624
1,0,0,45553.49636256625,45609.46530694769,55769.00112117482
1,0,1,45521.92180508058,45583.48212042529,56321.2081492291
1,0,2,45489.6595059722,45556.810184984824,55326.74914958078
1,0,3,45448.25580450946,45520.995839134564,48252.23467593589
1,0,4,45355.18887844263,45433.51725986366,36382.24291827287
1,0,5,45334.135025012874,45418.050743651154,35644.961276196016
1,0,6,45300.12141269363,45389.623458207316,33204.59336486082
1,1,0,45603.454898286,45659.41882132664,7297.211733815213
1,1,1,45383.08452007587,45444.63930917077,7255.7094340832855
1,1,2,45342.41878933135,45409.5634366776,7228.322818617009
1,1,3,45315.81120592398,45388.54470295779,7225.218210979459
1,1,4,45281.023533036496,45359.34487043222,7219.583594159626
1,1,5,45260.6151289324,45344.523296601474,7223.327140624852
1,1,6,45227.11513705463,45316.60912414457,7207.970021377248
2,0,0,45523.65678529728,45585.21710064199,55688.44391384717
2,0,1,45998.140270189906,46065.296977838676,56299.84660819709
2,0,2,45730.41167461884,45803.15824354918,48398.040583999835
2,0,3,45391.57723481187,45469.912656715824,36523.08003889506
2,0,4,45354.23383928876,45438.15710509701,34898.999815298026
2,0,5,45333.76931894036,45423.279418821185,35137.67496548035
2,0,6,45301.43506878981,45396.530992148095,33472.42590709214
2,1,0,45551.979367429885,45613.53415652479,7455.203071294508
2,1,1,45368.37956724223,45435.53024625485,7225.9248025881925
2,1,2,45421.934506566664,45494.674541191765,7295.056405668619
2,1,3,45310.31916121498,45388.64754263601,7244.841051621105
2,1,4,45273.64253819862,45357.5582568369,7241.57698103325
2,1,5,45253.73666788187,45343.238713395556,7241.094917104889
2,1,6,45229.08145146754,45324.1688127506,7206.503639579089
3,0,0,45491.250605413064,45558.40128442569,55675.95046540729
3,0,1,45491.46669931504,45564.21326824538,55997.64189569307
3,0,2,45607.19539452813,45685.53785337619,50328.16739629727
3,0,3,45778.06349384765,45861.99430303046,47932.16956024387
3,0,4,45347.578636459766,45437.09678665523,33062.24548991397
3,0,5,45327.43723484927,45422.54171597265,33809.27546135737
3,0,6,45303.43970183993,45404.12950304282,33395.553642686675
3,1,0,45510.16712353425,45577.3117708805,7703.063229731543
3,1,1,45342.19938782565,45414.93942245075,7215.336175820829
3,1,2,45420.75038786347,45499.08580976742,7266.125255565125
3,1,3,45303.95225479166,45387.875520599904,7190.383323814304
3,1,4,45273.75691191201,45363.267011792836,7241.5358510845535
3,1,5,45249.630165930575,45344.72608928886,7242.675565688894
3,1,6,45225.6482571997,45326.32899267588,7227.893751013594
4,0,0,45464.02606084625,45536.76609547135,55065.179691156394
4,0,1,45390.053615563535,45468.38903746749,38636.00776099944
4,0,2,45383.28489189393,45467.21570107673,34725.97742847082
4,0,3,45425.85813042024,45515.384326881904,42503.53526862944
4,0,4,45348.7009500003,45443.81398458298,33159.82667990596
4,0,5,45329.37389698472,45430.07275935065,33662.50798267173
4,0,6,45305.30149005616,45411.58516910366,33751.10823802114
4,1,0,45435.84642008532,45508.57991711913,7976.310349276536
4,1,1,45308.63828044073,45386.96666186176,7173.5606224268795
4,1,2,45386.61893915093,45470.54220495918,7244.841711729084
4,1,3,45292.89287209429,45382.41102228976,7229.749625437769
4,1,4,45266.620743185646,45361.725224309026,7172.470807570375
4,1,5,45245.71648307351,45346.4062842764,7159.3118986071595
4,1,6,45225.20728756038,45331.48139722968,7149.3185902908735
5,0,0,45413.74717755356,45492.07555897459,53482.43960998499
5,0,1,45414.12837390446,45498.05163971271,54334.58578817269
5,0,2,45346.374260071796,45435.89241026726,35420.19313985887
5,0,3,45344.26550659778,45439.378541180464,33591.961419086474
5,0,4,45375.52192557909,45476.22984454899,32092.027356208026
5,0,5,45322.205751745474,45428.498995353955,38827.65911007823
5,0,6,45300.79437405866,45412.67193095077,37974.995379310145
5,1,0,45408.095797795744,45486.41713519147,7891.928517010886
5,1,1,45288.021658173784,45371.937376812064,7177.961078627114
5,1,2,45274.300078143715,45363.81017802454,7212.419921184458
5,1,3,45269.61876730866,45364.72324843204,7220.614920340606
5,1,4,45268.05883905366,45368.75770141959,7168.139628543452
5,1,5,45247.62262763336,45353.90630668086,7148.516937006144
5,1,6,45227.26905059793,45339.13653446036,7144.58090868286
6,0,0,45392.26592232374,45476.18164096202,53078.92333448459
6,0,1,45389.6228193539,45479.132919234726,53794.45040426792
6,0,2,45326.40339153849,45421.507872661874,35419.76448726374
6,0,3,62275.11884137658,62375.81770374251,inf
6,0,4,45357.396444943115,45463.689688551596,33919.50008697782
6,0,5,45324.52424141756,45436.411866268594,38567.79170709402
6,0,6,45302.75275493194,45420.22418966865,37766.79847871056
6,1,0,45334.20718178054,45418.11534944962,7690.565048690584
6,1,1,45250.10258250398,45339.60462801767,7178.194843475305
6,1,2,45246.81572830897,45341.91165166725,7167.53280350516
6,1,3,45246.87263375014,45347.56243495303,7170.116022032006
6,1,4,45247.87173654567,45354.155415593166,7149.1612108253985
6,1,5,45249.41543651307,45361.29299340517,7191.210711590885
6,1,6,45229.263473330255,45346.724331385805,7143.413333739413
7,0,0,45335.62723720695,45425.129282720634,50551.8753990085
7,0,1,45301.79854037397,45396.89446373226,37704.98691875274
7,0,2,45297.95878895997,45398.64859016286,36294.08665897458
7,0,3,46312.6666567044,46418.9503357519,20013.979392836492
7,0,4,45303.398936361074,45415.27649325318,35496.18645998588
7,0,5,45304.07136374293,45421.54279847963,33833.651416773304
7,0,6,45302.26769846736,45425.33301104867,37643.35442230601
7,1,0,45303.022222363754,45392.51620945369,7756.212273474357
7,1,1,45228.09817270476,45323.185533987824,7172.618748780582
7,1,2,45225.725789263524,45326.40652473971,7169.986963006646
7,1,3,45224.31573988141,45330.58984955071,7166.582635808232
7,1,4,45224.56270260688,45336.43018646931,7138.370450759875
7,1,5,45227.76821708671,45345.22907514226,7229.145187859919
7,1,6,45228.19452068674,45351.248752935404,7163.379726056324
8,0,0,45312.08770048314,45407.175061766204,49565.097327175354
8,0,1,45280.15493989145,45380.835675367634,37016.34980473726
8,0,2,45277.305240811336,45383.57935048064,36180.55599695784
8,0,3,45371.28898603699,45483.15646989942,36589.52302726801
8,0,4,58269.76313039629,58387.22398845184,1.717781032179645e+149
8,0,5,45282.86251230417,45405.91674455284,35577.65938905228
8,0,6,45283.63327069926,45412.28087714105,38619.48512336522
8,1,0,45249.46868504419,45344.54747993755,7861.362181259834
8,1,1,45202.39134437997,45303.06300956118,7126.754225974106
8,1,2,45203.16627950933,45309.43081497838,7155.407300117918
8,1,3,45204.40881844919,45316.26622420609,7154.373412556306
8,1,4,45205.337254738755,45322.7875307835,7179.604670814092
8,1,5,45207.2399959249,45330.28314225749,7192.975840384399
8,1,6,45207.85515164258,45336.49116826301,7170.431197076519
