p,d,q,AIC,BIC,RMSE
0,0,0,61340.25243495029,61351.44722759072,16986.460444744127
0,0,1,46858.273976372926,46875.06616533356,16949.21526319681
0,0,2,46390.15968454171,46412.54926982256,16921.864989410962
0,0,3,46104.06495407701,46132.05193567807,16869.65070300677
0,0,4,46050.09032183891,46083.67469976018,16854.143059959
0,0,5,45994.80003965481,46033.981813896295,16834.91912243532
0,0,6,45987.6295231426,46032.4086937043,16808.06074644368
0,1,0,45760.722028245946,45766.31892268409,4847.677004147292
0,1,1,45761.61233142539,45772.806120301684,4872.092955328174
0,1,2,45710.97151914499,45727.762202459424,4682.994750714361
0,1,3,45644.789596853036,45667.17717460561,4681.732348056983
0,1,4,45560.17457129316,45588.15904348388,4756.924461166912
0,1,5,45559.97232582381,45593.553692452675,4777.123465960255
0,1,6,45545.01036634919,45584.1886274162,4809.308962017154
1,0,0,45633.240872326474,45650.03306128711,16346.73524487987
1,0,1,45611.08179513422,45633.47138041507,16494.55556999052
1,0,2,45610.370490117915,45638.35747171898,16423.589872121058
1,0,3,45610.030511454315,45643.61488937559,16263.797437534507
1,0,4,45558.377563539296,45597.55933778078,14265.156843743507
1,0,5,45559.63896978299,45604.41814034469,14147.755376227462
1,0,6,45548.43526127589,45598.811828157806,13770.25056252543
1,1,0,45761.8906059925,45773.08439486879,4866.1483578173165
1,1,1,45612.29063673518,45629.08132004962,4800.27607936815
1,1,2,45566.45600748484,45588.84358523742,4784.782879081902
1,1,3,45565.11813592863,45593.10260811935,4791.875494890806
1,1,4,45555.47181750898,45589.05318413785,4803.383456547316
1,1,5,45555.350121946634,45594.52838301365,4786.951793946874
1,1,6,45546.91654998805,45591.691705493206,4811.21298690954
2,0,0,45613.3787552523,45635.76834053315,16501.781882890475
2,0,1,45603.71586196823,45631.70284356929,16414.260158644494
2,0,2,45603.579041898105,45637.16341981938,16456.86540995651
2,0,3,45568.936011601174,45608.11778584266,13781.548751410912
2,0,4,45557.877441902485,45602.65661246419,13913.623325854202
2,0,5,45558.41005158026,45608.786618462174,13867.987670101518
2,0,6,45549.859259866724,45605.833223068854,13828.783857229839
2,1,0,45729.995144440014,45746.78582775445,4792.258632043768
2,1,1,45565.750688270266,45588.13826602284,4799.514547308254
2,1,2,45571.389217977645,45599.373690168366,4764.089503912384
2,1,3,45561.41812632555,45594.99949295442,4772.553319284544
2,1,4,45548.19670202727,45587.374963094284,4783.419486755216
2,1,5,45550.09197462673,45594.86713013189,4780.915778601848
2,1,6,45548.71554882224,45599.087598765545,4806.7800375022125
3,0,0,45610.16238300994,45638.149364611,16422.981462900047
3,0,1,45603.578553463856,45637.16293138513,16460.646641804233
3,0,2,45605.55839356279,45644.74016780427,16459.713793224524
3,0,3,45597.87435635812,45642.65352691983,16480.56888958867
3,0,4,45551.572195061475,45601.94876194339,13815.987894403388
3,0,5,45553.57286898529,45609.54683218742,13819.391018088158
3,0,6,45552.058243495994,45613.62960301834,13931.477920156201
3,1,0,45709.97192455883,45732.3595023114,4688.866776928615
3,1,1,45566.351904369185,45594.336376559906,4809.67525550914
3,1,2,45557.81786511269,45591.399231741554,4785.156627929638
3,1,3,45550.08004542394,45589.258306490956,4846.414593604542
3,1,4,45548.2179049183,45592.99306042346,4782.655668186166
3,1,5,45546.29442914779,45596.666479091095,4789.017165607397
3,1,6,45548.33020276026,45604.299147141704,4812.383418076491
4,0,0,45609.50729354609,45643.091671467366,16352.602863375989
4,0,1,45605.53798690655,45644.71976114804,16454.37249284797
4,0,2,45565.9833117119,45610.7624822736,13738.281668723443
4,0,3,45604.341575370265,45654.71814225218,16452.662583901394
4,0,4,45552.47050773585,45608.44447093798,13758.227558461513
4,0,5,45551.241317365784,45612.81267688813,13785.121486576825
4,0,6,45547.367832853255,45614.53658869581,14259.559095522454
4,1,0,45662.46805716007,45690.45252935079,4602.985241855739
4,1,1,45561.09434967953,45594.6757163084,4839.471263252353
4,1,2,45548.206719778784,45587.384980845796,4811.3132194636755
4,1,3,45545.07882300424,45589.853978509396,4793.549827063577
4,1,4,45544.72567874003,45595.09772868334,4817.326657784206
4,1,5,45546.38271228317,45602.351656664614,4827.802007250372
4,1,6,45548.52613685961,45610.0919756792,4847.770764108685
5,0,0,45590.800985382724,45629.98275962421,16109.672170308411
5,0,1,45586.466424722166,45631.24559528387,16230.689171665896
5,0,2,45549.48379297862,45599.86035986054,13944.575911614313
5,0,3,45547.93368493806,45603.90764814019,13929.201381995877
5,0,4,45545.76448119499,45607.33584071733,14200.22244554058
5,0,5,45549.462463668955,45616.63121951151,14959.747578092009
5,0,6,45546.10093460195,45618.867086764716,14526.845285066862
5,1,0,45658.3385222044,45691.91988883327,4621.719435484413
5,1,1,45561.80448010545,45600.98274117246,4818.841821970251
5,1,2,45549.5610730152,45594.336228520355,4798.144294582809
5,1,3,45545.46010034838,45595.83215029168,4801.665083722155
5,1,4,45546.35977675766,45602.3287211391,4827.8096806732365
5,1,5,45548.38304745401,45609.948886273596,4828.865304859511
5,1,6,45548.22747619248,45615.39020945021,4769.968127956325
6,0,0,45592.66924018881,45637.44841075051,16088.78051104608
6,0,1,45586.999275284186,45637.375842166104,16167.72065595697
6,0,2,45563.773957016405,45619.747920218535,14026.051947645014
6,0,3,45545.65750654512,45607.22886606746,13447.326083426091
6,0,4,45543.53800691023,45610.70676275279,14423.869226955845
6,0,5,45546.59233664341,45619.358488806174,14837.427086622429
6,0,6,45548.43077363062,45626.7943221136,14585.77089989886
6,1,0,45609.98377109361,45649.162032160624,4664.117129392362
6,1,1,45551.37455834428,45596.14971384944,4832.834011633717
6,1,2,45546.342408174416,45596.71445811772,4836.441854066696
6,1,3,45547.04605532189,45603.01499970333,4836.736443418327
6,1,4,45548.382933524714,45609.9487723443,4841.571590535157
6,1,5,45549.775261702925,45616.93799496066,4804.418632253684
6,1,6,45550.66850133812,45623.428129034,4816.6169204745465
7,0,0,45566.36190639487,45616.73847327679,15725.201799978804
7,0,1,45548.691067028674,45604.665030230804,14198.35384522861
7,0,2,45544.97762298887,45606.54898251121,14083.322303643257
7,0,3,45548.92699416541,45616.09575000797,13918.543464640114
7,0,4,45547.672676878385,45620.43882904115,14035.817836947645
7,0,5,45554.84237667281,45633.20592515579,13991.154917490965
7,0,6,45548.566375290175,45632.527320093366,14537.677361433469
7,1,0,45604.58861581241,45649.36377131757,4635.105156724823
7,1,1,45549.93267783017,45600.30472777347,4826.778347944584
7,1,2,45548.0945569942,45604.06350137564,4836.534845110116
7,1,3,45548.985529660524,45610.55136848011,4838.608950352806
7,1,4,45550.017158243994,45617.17989150173,4842.351372971403
7,1,5,45550.297292302064,45623.05691999794,4801.485596118705
7,1,6,45546.938399605075,45625.2949217391,4839.806788127203
8,0,0,45566.947089102534,45622.921052304664,15621.675417607885
8,0,1,45569.75963026224,45631.33098978458,15750.906577048147
8,0,2,45551.83098218966,45618.99973803222,14221.399204384714
8,0,3,45544.475929620006,45617.24208178277,13832.493141750625
8,0,4,45544.9758025795,45623.33935106248,14017.462152083399
8,0,5,45549.89113673214,45633.85208153533,14529.65696454117
8,0,6,45555.5129654832,45645.0713066066,13914.048519899246
8,1,0,45577.50566745484,45627.87771739814,4599.133635902525
8,1,1,45548.54540497824,45604.514349359684,4866.346507926415
8,1,2,45548.767719980824,45610.33355880041,4846.597892112308
8,1,3,45550.154346038034,45617.31707929577,4848.640767625536
8,1,4,45548.929284160986,45621.688911856865,4825.256393946933
8,1,5,45553.858856776416,45632.21537891044,4842.670652565033
8,1,6,45557.729489452846,45641.68290602502,4835.968513635266
