p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,82854.28427543554,51751.24387173183,51800.201124748644,17,17
0,0,1,82589.97929124057,39640.57444718666,39694.96550205923,17,17
0,0,2,82270.21403934482,39275.16631530486,39334.98998960464,17,17
0,0,3,82119.0286016775,39098.450479831066,39163.705590076184,17,17
0,0,4,81876.677734752,39068.87440261632,39139.559764269914,17,17
0,0,5,81958.71929572796,39005.881772138586,39081.996199607165,17,17
0,0,6,81948.7801315705,38970.22325641856,39051.76556305024,17,17
0,1,0,48233.196959895606,48112.162946906006,48161.114896291336,17,17
0,1,1,47712.633984631764,36588.56966570378,36642.95482415812,17,17
0,1,2,55833.2299868888,36543.20576278409,36603.02294717545,17,17
0,1,3,55318.2132487036,36496.6558966908,36561.903922832586,17,17
0,1,4,53867.93513321164,36445.04814026044,36515.72582290984,17,17
0,1,5,48303.7191389265,36424.061819017734,36500.16797187397,17,17
0,1,6,50320.75534595142,36397.52527252076,36479.058708223456,17,17
1,0,0,73326.4070223664,37087.07837340987,37141.475321206344,17,17
1,0,1,64511.757947456696,36584.171302607916,36644.00146296775,17,17
1,0,2,64283.33679140024,36550.945409299915,36616.20759944513,17,17
1,0,3,57543.65369156914,36511.44572013081,36582.13875622969,17,17
1,0,4,56858.79891997792,36453.19172528043,36529.31442244585,17,17
1,0,5,56924.13266994833,36432.895199370854,36514.44637165861,17,17
1,0,6,57635.807006292365,36399.581477279266,36486.5599376864,17,17
1,1,0,47925.945476187306,36835.7506194124,36890.141674284976,17,17
1,1,1,49787.14072780565,36541.51455916533,36601.33823346511,17,17
1,1,2,49645.12487182984,36497.522784574554,36562.77789481967,17,17
1,1,3,49546.19307592693,36467.10703086527,36537.79239251889,17,17
1,1,4,50279.81759485487,36441.06334689897,36517.177774367556,17,17
1,1,5,50321.95569908112,36421.048167356625,36502.59047398831,17,17
1,1,6,49664.53595317351,36398.650163556646,36485.61916163953,17,17
2,0,0,68576.49826294713,36792.25039524087,36852.08055560071,17,17
2,0,1,64406.60181557879,36578.58476349745,36643.85402934455,17,17
2,0,2,59183.29523283792,36573.59888128559,36644.29958727624,17,17
2,0,3,57510.18861888266,36486.8647973539,36562.995759306534,17,17
2,0,4,56345.77932708041,36449.12976908044,36530.68980175769,17,17
2,0,5,56552.51504445492,36430.140347706416,36517.128264813364,17,17
2,0,6,56969.51018787193,36394.41433988866,36486.828954071236,17,17
2,1,0,50686.94784500919,36738.974065601295,36798.79773990107,17,17
2,1,1,51087.567633118786,36521.038067546164,36586.30025769138,17,17
2,1,2,60247.55584588292,36490.343563246584,36561.036599345454,17,17
2,1,3,48985.6553381807,36554.06153918078,36630.184236346206,17,17
2,1,4,56344.62331456569,36437.157585779874,36518.70875806764,17,17
2,1,5,49509.12540395154,36401.94722901307,36488.925689420204,17,17
2,1,6,49353.003653087304,36380.53396057334,36472.938521036405,17,17
3,0,0,66860.40548060653,36708.12209145545,36773.384281600665,17,17
3,0,1,64447.86466998026,36559.01864392217,36629.71934991282,17,17
3,0,2,59691.12800392886,36545.97981093456,36622.11903277064,17,17
3,0,3,56460.00201349974,36682.79213950097,36764.36102730736,17,17
3,0,4,56570.720922021304,36451.31521339143,36538.312581580474,17,17
3,0,5,58661.90426574918,36429.792513213215,36522.21717513934,17,17
3,0,6,56838.589475006826,36388.23341589534,36486.08418385337,17,17
3,1,0,54531.86569798982,36633.19890759079,36698.45401783592,17,17
3,1,1,51632.81185125299,36495.53022086283,36566.223256961704,17,17
3,1,2,49902.22191919954,36505.64111366994,36581.772075622575,17,17
3,1,3,52164.38632845963,36472.03058475425,36553.59061743149,17,17
3,1,4,60582.605107799274,36430.125827922195,36517.11374502914,17,17
3,1,5,59226.14640287322,36400.674076053816,36493.08869023639,17,17
3,1,6,61018.769260667475,36372.32158775684,36470.16171060009,17,17
4,0,0,65630.95241791113,36611.79490966576,36682.487945764624,17,17
4,0,1,64459.22760572994,36523.79749282128,36599.92845477391,17,17
4,0,2,68952.10361168963,36505.19552101625,36586.764408822644,17,17
4,0,3,57966.48222868956,36531.18754062244,36618.194354282605,17,17
4,0,4,56414.89543711563,36448.05996853052,36540.4946722314,17,17
4,0,5,59605.36860867882,36432.37956887027,36530.24097561559,17,17
4,0,6,56833.36686220836,36385.95151437983,36489.2384361133,17,17
4,1,0,62144.486323301244,36561.498887663794,36632.184249317404,17,17
4,1,1,53308.248840305954,36469.289471499076,36545.4121686645,17,17
4,1,2,54794.373646364,36495.67883071625,36577.23886339349,17,17
4,1,3,51357.77915036289,36491.40119776407,36578.39856595313,17,17
4,1,4,57162.06662969985,36422.013375987306,36514.438037913445,17,17
4,1,5,60497.30579542372,36397.90503740411,36495.75580536214,17,17
4,1,6,61624.37825386793,36387.06977997556,36490.34546519899,17,17
5,0,0,65482.77772834045,36553.378406078344,36629.501103243754,17,17
5,0,1,64875.29232866986,36490.18262035297,36571.74265303021,17,17
5,0,2,56725.359347536265,36456.30993277248,36543.307300961525,17,17
5,0,3,56987.24982908402,36485.46963958413,36577.904343285,17,17
5,0,4,3610681.5952756205,36430.77823202132,36528.650271234,17,17
5,0,5,59069.622159626306,36687.07763892816,36790.37579049266,17,17
5,0,6,56611.21878431045,36394.22931247457,36502.95238798348,17,17
5,1,0,59896.14179515492,36532.19938739937,36608.31381486794,17,17
5,1,1,52225.05007858485,36449.69127095302,36531.24244324078,17,17
5,1,2,51360.599511918976,36452.87255439509,36539.86047150204,17,17
5,1,3,51093.97393742547,36613.83921845414,36706.26388038026,17,17
5,1,4,62702.59023566451,36456.46569383887,36554.32710058419,17,17
5,1,5,64570.195677437245,36404.9076424136,36508.194564147074,17,17
5,1,6,62915.56645426798,36388.56018557212,36497.27143317572,17,17
6,0,0,65323.450671973806,36525.37185630961,36606.92302859737,17,17
6,0,1,64722.87620817238,36470.68641556654,36557.67433267349,17,17
6,0,2,56427.35615589823,36419.88813711606,36512.3127990422,17,17
6,0,3,1.9319759797676644e+30,39046.41477040731,39144.27617715263,17,17
6,0,4,4154186.3642074727,36480.06598549146,36583.36413705596,17,17
6,0,5,9298170.630223949,36384.61120071859,36493.346097102265,17,17
6,0,6,2006012.053987515,36377.307312808705,36491.46654209307,17,17
6,1,0,58726.330576515094,36498.089335649114,36579.63164228081,17,17
6,1,1,51802.51040531894,36421.550072406884,36508.528532814016,17,17
