p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,30967.201721502253,22246.926164192944,22312.242468993394,16,16
0,0,1,30917.5907116357,17503.48335501409,17573.445756768175,16,16
0,0,2,30873.39974817742,17411.605593708373,17486.211484649713,16,16
0,0,3,30821.830565496977,17367.46389502978,17446.7106621918,16,16
0,0,4,30903.35372556368,17327.560076843496,17411.445102040543,16,16
0,0,5,30908.898129243986,17293.182667642046,17381.703327450407,16,16
0,0,6,30989.17510298919,17258.744409812927,17351.898075551784,16,16
0,1,0,70260.6430681463,22061.428545714865,22126.72678735201,16,16
0,1,1,66898.81879610728,17268.163967513203,17338.10699027071,16,16
0,1,2,66800.74876287061,17242.484495911867,17317.069688534943,16,16
0,1,3,66746.25350223418,17219.888676698727,17299.11342271816,16,16
0,1,4,66518.67227171538,17197.168736231433,17281.030413944623,16,16
0,1,5,66883.26214508718,17176.10819175926,17264.604174211174,16,16
0,1,6,66749.30035430938,17156.070514565014,17249.198169529038,16,16
1,0,0,30757.912314164227,17426.958751846563,17496.940506989908,16,16
1,0,1,30710.220934829566,17345.550746871275,17420.1773087423,16,16
1,0,2,30728.180564168084,17324.093269105088,17403.362028230265,16,16
1,0,3,30707.56942958708,17297.201363181113,17381.109704882074,16,16
1,0,4,30928.0375689298,17275.892727771883,17364.438032146543,16,16
1,0,5,30906.592383724354,17255.17628997218,17348.35593187572,16,16
1,0,6,30887.726452413688,17231.19541412335,17329.00676314915,16,16
1,1,0,68693.48703512643,17396.77698308522,17466.739384839304,16,16
1,1,1,66766.43973804996,17264.121881770592,17338.727772711936,16,16
1,1,2,66753.34986917235,17241.926815846447,17321.173583008465,16,16
1,1,3,66780.07400163094,17221.225365416634,17305.11039061368,16,16
1,1,4,66542.262796099,17196.291786536985,17284.81244634535,16,16
1,1,5,66764.28583495854,17172.01708498633,17265.17075072519,16,16
1,1,6,66790.6345462187,17148.894906358408,17246.678944070634,16,16
2,0,0,30813.160994257247,17354.93566167794,17429.56222354896,16,16
2,0,1,31006.18275490002,17340.781292820484,17420.072014808444,16,16
2,0,2,30988.79707220145,17316.487681399303,17400.41930870831,16,16
2,0,3,30939.160443095407,17297.496472460723,17386.06638870063,16,16
2,0,4,30903.549013858472,17276.402591462982,17369.60817501525,16,16
2,0,5,30846.742463429924,17254.279537618157,17352.118161616876,16,16
2,0,6,30796.01609059025,17230.47116193927,17332.94019425201,16,16
2,1,0,67723.3275641262,17337.206314157724,17411.812205099064,16,16
2,1,1,70973.10763326111,17264.59159850044,17343.860357625614,16,16
2,1,2,66788.42327812883,17256.401222657,17340.309564357965,16,16
2,1,3,70541.41354516726,17218.653666703834,17307.198971078495,16,16
2,1,4,66691.63647794128,17192.553327134796,17285.732969038338,16,16
2,1,5,71881.39022342728,17172.98762403785,17270.798973063647,16,16
2,1,6,66782.09817859298,17151.034787506615,17253.475207967043,16,16
3,0,0,30857.450269194742,17326.640908358117,17405.90966748329,16,16
3,0,1,30951.450331860407,17317.45618646676,17401.387813775767,16,16
3,0,2,31002.12635822111,17325.69335895416,17414.287854447004,16,16
