p,d,q,AIC,BIC,RMSE
0,0,0,61963.37191056424,62013.74396050754,59335.008255041204
0,0,1,47428.55546343021,47484.51938647085,59141.59013139381
0,0,2,46946.58367777143,47008.13846686633,58995.485807392186
0,0,3,46657.508323660164,46724.65297100641,58819.92127858848
0,0,4,46586.02832956229,46658.7618265961,58717.74846126289
0,0,5,46516.63363361741,46594.95497101314,58584.09887237311
0,0,6,46488.21880122933,46572.12696889841,58469.77313637531
0,1,0,58858.0514001992,58908.418930935775,7120.88315367421
0,1,1,45683.91002399072,45739.86892316791,7343.947196567069
0,1,2,45588.308133899875,45649.85739396727,7817.338677622126
0,1,3,45479.11539596069,45546.254008607284,7403.074182931331
0,1,4,45388.403090027554,45461.130046180726,7290.640547372542
0,1,5,45367.81253104012,45446.12682086459,7272.807772094816
0,1,6,45334.24413974794,45418.14475264476,7251.829798284846
1,0,0,45661.30693694365,45717.27588132509,55747.30612624186
1,0,1,45629.53803390907,45691.09834925378,56305.37823947791
1,0,2,45597.336377923595,45664.48705693622,55314.19123091218
1,0,3,45556.14212741757,45628.88216204267,48311.10580634616
1,0,4,45462.83723826674,45541.16561968777,36390.51907063979
1,0,5,45441.78649590774,45525.70221454602,35621.95603485604
1,0,6,45407.70258804069,45497.20463355437,33211.34259154962
1,1,0,45711.10123323285,45767.065156273486,7272.161041767482
1,1,1,45490.88765622524,45552.44244532014,7294.22596819403
1,1,2,45450.140100030745,45517.284747376994,7263.923077131199
1,1,3,45423.5614353143,45496.294932348115,7260.077614441709
1,1,4,45388.76586041396,45467.087197809684,7251.420864268836
1,1,5,45368.35855710585,45452.26672477493,7255.647916806746
1,1,6,45334.815326765354,45424.309313855294,7243.382398924437
2,0,0,45631.304619738155,45692.864935082864,56272.32607045668
2,0,1,46105.81245493516,46172.96916258393,56275.80534933109
2,0,2,45840.21548509375,45912.962054024094,48403.63359545782
2,0,3,45499.32480812543,45577.66023002938,36544.0832812897
2,0,4,45461.87669139593,45545.79995720418,34904.544495472735
2,0,5,45441.40766312042,45530.91776300125,35134.93571651793
2,0,6,45409.01815876519,45504.11408212347,33458.34449700404
2,1,0,45659.6806511139,45721.2354402088,7429.057559864152
2,1,1,45476.04940357155,45543.200082584175,7258.336829180112
2,1,2,45529.3054272018,45602.0454618269,7342.37393892292
2,1,3,45418.08311581622,45496.41149723725,7285.556704425027
2,1,4,45381.34728966346,45465.26300830174,7276.9520830148485
2,1,5,45361.448865747334,45450.95091126102,7276.489698286634
2,1,6,45336.78359414492,45431.870955427985,7241.577242260874
3,0,0,45598.89763713002,45666.048316142645,55659.609516937635
3,0,1,45599.051412261055,45671.7979811914,55980.702183154186
3,0,2,45716.77389503761,45795.11635388567,50357.19590753422
3,0,3,45626.36130340546,45710.292112588264,33332.17039507434
3,0,4,45454.929780059174,45544.44793025464,33678.280970765336
3,0,5,45435.036918466474,45530.141399589855,33809.11309461144
3,0,6,45411.00533637337,45511.69513757626,33433.494081059296
3,1,0,45617.922691182015,45685.067338528264,7675.800609135392
3,1,1,45449.8543205531,45522.594355178204,7244.320063970982
3,1,2,45528.08640747004,45606.42182937399,7309.889878559313
3,1,3,45411.63069542837,45495.55396123662,7209.2033614913125
3,1,4,45381.45147733552,45470.961577216345,7280.291237285169
