date,unemployment,unemployment benefits,file for unemployment,unemployment office,apply for unemployment
2004-01-03,8.0,1.0,0.0,1.0,0.0
2004-01-10,,,,,
2004-01-17,,,,,
2004-01-24,,,,,
2004-01-31,,,,,
2004-02-07,7.0,1.0,0.0,1.0,0.0
2004-02-14,,,,,
2004-02-21,,,,,
2004-02-28,,,,,
2004-03-06,7.0,1.0,0.0,1.0,0.0
2004-03-13,,,,,
2004-03-20,,,,,
2004-03-27,,,,,
2004-04-03,7.0,1.0,0.0,1.0,0.0
2004-04-10,,,,,
2004-04-17,,,,,
2004-04-24,,,,,
2004-05-01,6.0,1.0,0.0,0.0,0.0
2004-05-08,,,,,
2004-05-15,,,,,
2004-05-22,,,,,
2004-05-29,,,,,
2004-06-05,6.0,0.0,0.0,1.0,0.0
2004-06-12,,,,,
2004-06-19,,,,,
2004-06-26,,,,,
2004-07-03,7.0,1.0,0.0,1.0,0.0
2004-07-10,,,,,
2004-07-17,,,,,
2004-07-24,,,,,
2004-07-31,,,,,
2004-08-07,6.0,1.0,0.0,1.0,0.0
2004-08-14,,,,,
2004-08-21,,,,,
2004-08-28,,,,,
2004-09-04,7.0,0.0,0.0,1.0,0.0
2004-09-11,,,,,
2004-09-18,,,,,
2004-09-25,,,,,
2004-10-02,7.0,1.0,0.0,0.0,0.0
2004-10-09,,,,,
2004-10-16,,,,,
2004-10-23,,,,,
2004-10-30,,,,,
2004-11-06,6.0,0.0,0.0,0.0,0.0
2004-11-13,,,,,
2004-11-20,,,,,
2004-11-27,,,,,
2004-12-04,5.0,0.0,0.0,1.0,0.0
2004-12-11,,,,,
2004-12-18,,,,,
2004-12-25,,,,,
2005-01-01,6.0,0.0,0.0,1.0,0.0
2005-01-08,,,,,
2005-01-15,,,,,
2005-01-22,,,,,
2005-01-29,,,,,
2005-02-05,6.0,0.0,0.0,1.0,0.0
2005-02-12,,,,,
2005-02-19,,,,,
2005-02-26,,,,,
2005-03-05,5.0,0.0,0.0,0.0,0.0
2005-03-12,,,,,
2005-03-19,,,,,
2005-03-26,,,,,
2005-04-02,6.0,0.0,0.0,0.0,0.0
2005-04-09,,,,,
2005-04-16,,,,,
2005-04-23,,,,,
2005-04-30,,,,,
2005-05-07,5.0,0.0,0.0,0.0,0.0
2005-05-14,,,,,
2005-05-21,,,,,
2005-05-28,,,,,
2005-06-04,6.0,0.0,0.0,1.0,0.0
2005-06-11,,,,,
2005-06-18,,,,,
2005-06-25,,,,,
2005-07-02,5.0,0.0,0.0,1.0,0.0
2005-07-09,,,,,
2005-07-16,,,,,
2005-07-23,,,,,
2005-07-30,,,,,
2005-08-06,5.0,0.0,0.0,0.0,0.0
2005-08-13,,,,,
2005-08-20,,,,,
2005-08-27,,,,,
2005-09-03,6.0,0.0,0.0,1.0,0.0
2005-09-10,,,,,
2005-09-17,,,,,
2005-09-24,,,,,
2005-10-01,6.0,0.0,0.0,1.0,0.0
2005-10-08,,,,,
2005-10-15,,,,,
2005-10-22,,,,,
2005-10-29,,,,,
2005-11-05,6.0,0.0,0.0,0.0,0.0
2005-11-12,,,,,
2005-11-19,,,,,
2005-11-26,,,,,
2005-12-03,6.0,0.0,0.0,0.0,0.0
2005-12-10,,,,,
2005-12-17,,,,,
2005-12-24,,,,,
2005-12-31,,,,,
2006-01-07,6.0,0.0,0.0,1.0,0.0
2006-01-14,,,,,
2006-01-21,,,,,
2006-01-28,,,,,
2006-02-04,5.0,0.0,0.0,1.0,0.0
2006-02-11,,,,,
2006-02-18,,,,,
2006-02-25,,,,,
2006-03-04,6.0,0.0,0.0,1.0,0.0
2006-03-11,,,,,
2006-03-18,,,,,
2006-03-25,,,,,
2006-04-01,5.0,0.0,0.0,0.0,0.0
2006-04-08,,,,,
2006-04-15,,,,,
2006-04-22,,,,,
2006-04-29,,,,,
2006-05-06,5.0,0.0,0.0,1.0,0.0
2006-05-13,,,,,
2006-05-20,,,,,
2006-05-27,,,,,
2006-06-03,6.0,0.0,0.0,1.0,0.0
2006-06-10,,,,,
2006-06-17,,,,,
2006-06-24,,,,,
2006-07-01,5.0,0.0,0.0,1.0,0.0
2006-07-08,,,,,
2006-07-15,,,,,
2006-07-22,,,,,
2006-07-29,,,,,
2006-08-05,5.0,0.0,0.0,1.0,0.0
2006-08-12,,,,,
2006-08-19,,,,,
2006-08-26,,,,,
2006-09-02,5.0,0.0,0.0,0.0,0.0
2006-09-09,,,,,
2006-09-16,,,,,
2006-09-23,,,,,
2006-09-30,,,,,
2006-10-07,5.0,0.0,0.0,0.0,0.0
2006-10-14,,,,,
2006-10-21,,,,,
2006-10-28,,,,,
2006-11-04,5.0,0.0,0.0,1.0,0.0
2006-11-11,,,,,
2006-11-18,,,,,
2006-11-25,,,,,
2006-12-02,5.0,0.0,0.0,1.0,0.0
2006-12-09,,,,,
2006-12-16,,,,,
2006-12-23,,,,,
2006-12-30,,,,,
2007-01-06,6.0,0.0,0.0,1.0,0.0
2007-01-13,,,,,
2007-01-20,,,,,
2007-01-27,,,,,
2007-02-03,5.0,0.0,0.0,0.0,0.0
2007-02-10,,,,,
2007-02-17,,,,,
2007-02-24,,,,,
2007-03-03,5.0,0.0,0.0,1.0,0.0
2007-03-10,,,,,
2007-03-17,,,,,
2007-03-24,,,,,
2007-03-31,,,,,
2007-04-07,5.0,0.0,0.0,1.0,0.0
2007-04-14,,,,,
2007-04-21,,,,,
2007-04-28,,,,,
2007-05-05,5.0,0.0,0.0,0.0,0.0
2007-05-12,,,,,
2007-05-19,,,,,
2007-05-26,,,,,
2007-06-02,5.0,0.0,0.0,1.0,0.0
2007-06-09,,,,,
2007-06-16,,,,,
2007-06-23,,,,,
2007-06-30,,,,,
2007-07-07,5.0,0.0,0.0,1.0,0.0
2007-07-14,,,,,
2007-07-21,,,,,
2007-07-28,,,,,
2007-08-04,6.0,0.0,0.0,1.0,0.0
2007-08-11,,,,,
2007-08-18,,,,,
2007-08-25,,,,,
2007-09-01,5.0,0.0,0.0,0.0,0.0
2007-09-08,,,,,
2007-09-15,,,,,
2007-09-22,,,,,
2007-09-29,,,,,
2007-10-06,6.0,0.0,0.0,1.0,0.0
2007-10-13,,,,,
2007-10-20,,,,,
2007-10-27,,,,,
2007-11-03,6.0,1.0,0.0,1.0,0.0
2007-11-10,,,,,
2007-11-17,,,,,
2007-11-24,,,,,
2007-12-01,6.0,0.0,0.0,1.0,0.0
2007-12-08,,,,,
2007-12-15,,,,,
2007-12-22,,,,,
2007-12-29,,,,,
2008-01-05,7.0,1.0,0.0,1.0,0.0
2008-01-12,,,,,
2008-01-19,,,,,
2008-01-26,,,,,
2008-02-02,6.0,1.0,0.0,1.0,0.0
2008-02-09,,,,,
2008-02-16,,,,,
2008-02-23,,,,,
2008-03-01,6.0,1.0,0.0,1.0,0.0
2008-03-08,,,,,
2008-03-15,,,,,
2008-03-22,,,,,
2008-03-29,,,,,
2008-04-05,6.0,1.0,0.0,1.0,0.0
2008-04-12,,,,,
2008-04-19,,,,,
2008-04-26,,,,,
2008-05-03,6.0,1.0,0.0,0.0,0.0
2008-05-10,,,,,
2008-05-17,,,,,
2008-05-24,,,,,
2008-05-31,,,,,
2008-06-07,7.0,1.0,0.0,1.0,0.0
2008-06-14,,,,,
2008-06-21,,,,,
2008-06-28,,,,,
2008-07-05,7.0,1.0,0.0,1.0,0.0
2008-07-12,,,,,
2008-07-19,,,,,
2008-07-26,,,,,
2008-08-02,7.0,1.0,0.0,1.0,0.0
2008-08-09,,,,,
2008-08-16,,,,,
2008-08-23,,,,,
2008-08-30,,,,,
2008-09-06,8.0,1.0,0.0,1.0,0.0
2008-09-13,,,,,
2008-09-20,,,,,
2008-09-27,,,,,
2008-10-04,9.0,1.0,0.0,1.0,0.0
2008-10-11,,,,,
2008-10-18,,,,,
2008-10-25,,,,,
2008-11-01,10.0,1.0,0.0,1.0,0.0
2008-11-08,,,,,
2008-11-15,,,,,
2008-11-22,,,,,
2008-11-29,,,,,
2008-12-06,11.0,1.0,0.0,1.0,0.0
2008-12-13,,,,,
2008-12-20,,,,,
2008-12-27,,,,,
2009-01-03,15.0,2.0,0.0,1.0,0.0
2009-01-10,,,,,
2009-01-17,,,,,
2009-01-24,,,,,
2009-01-31,,,,,
2009-02-07,15.0,2.0,0.0,1.0,0.0
2009-02-14,,,,,
2009-02-21,,,,,
2009-02-28,,,,,
2009-03-07,14.0,1.0,0.0,1.0,0.0
2009-03-14,,,,,
2009-03-21,,,,,
2009-03-28,,,,,
2009-04-04,11.0,1.0,0.0,1.0,0.0
2009-04-11,,,,,
2009-04-18,,,,,
2009-04-25,,,,,
2009-05-02,11.0,1.0,0.0,1.0,0.0
2009-05-09,,,,,
2009-05-16,,,,,
2009-05-23,,,,,
2009-05-30,,,,,
2009-06-06,12.0,1.0,0.0,1.0,0.0
2009-06-13,,,,,
2009-06-20,,,,,
2009-06-27,,,,,
2009-07-04,12.0,1.0,0.0,1.0,0.0
2009-07-11,,,,,
2009-07-18,,,,,
2009-07-25,,,,,
2009-08-01,11.0,1.0,0.0,1.0,0.0
2009-08-08,,,,,
2009-08-15,,,,,
2009-08-22,,,,,
2009-08-29,,,,,
2009-09-05,11.0,1.0,0.0,1.0,0.0
2009-09-12,,,,,
2009-09-19,,,,,
2009-09-26,,,,,
2009-10-03,12.0,1.0,0.0,1.0,0.0
2009-10-10,,,,,
2009-10-17,,,,,
2009-10-24,,,,,
2009-10-31,,,,,
2009-11-07,12.0,1.0,0.0,1.0,0.0
2009-11-14,,,,,
2009-11-21,,,,,
2009-11-28,,,,,
2009-12-05,12.0,1.0,0.0,1.0,0.0
2009-12-12,,,,,
2009-12-19,,,,,
2009-12-26,,,,,
2010-01-02,12.0,1.0,0.0,1.0,0.0
2010-01-09,,,,,
2010-01-16,,,,,
2010-01-23,,,,,
2010-01-30,,,,,
2010-02-06,11.0,1.0,0.0,0.0,0.0
2010-02-13,,,,,
2010-02-20,,,,,
2010-02-27,,,,,
2010-03-06,12.0,1.0,0.0,0.0,0.0
2010-03-13,,,,,
2010-03-20,,,,,
2010-03-27,,,,,
2010-04-03,11.0,1.0,0.0,0.0,0.0
2010-04-10,,,,,
2010-04-17,,,,,
2010-04-24,,,,,
2010-05-01,10.0,1.0,0.0,0.0,0.0
2010-05-08,,,,,
2010-05-15,,,,,
2010-05-22,,,,,
2010-05-29,,,,,
2010-06-05,14.0,1.0,0.0,0.0,0.0
2010-06-12,,,,,
2010-06-19,,,,,
2010-06-26,,,,,
2010-07-03,17.0,2.0,0.0,0.0,0.0
2010-07-10,,,,,
2010-07-17,,,,,
2010-07-24,,,,,
2010-07-31,,,,,
2010-08-07,9.0,1.0,0.0,0.0,0.0
2010-08-14,,,,,
2010-08-21,,,,,
2010-08-28,,,,,
2010-09-04,8.0,1.0,0.0,0.0,0.0
2010-09-11,,,,,
2010-09-18,,,,,
2010-09-25,,,,,
2010-10-02,8.0,1.0,0.0,0.0,0.0
2010-10-09,,,,,
2010-10-16,,,,,
2010-10-23,,,,,
2010-10-30,,,,,
2010-11-06,9.0,1.0,0.0,0.0,0.0
2010-11-13,,,,,
2010-11-20,,,,,
2010-11-27,,,,,
2010-12-04,11.0,1.0,0.0,0.0,0.0
2010-12-11,,,,,
2010-12-18,,,,,
2010-12-25,,,,,
2011-01-01,14.0,1.0,0.0,1.0,0.0
2011-01-08,,,,,
2011-01-15,,,,,
2011-01-22,,,,,
2011-01-29,,,,,
2011-02-05,12.0,1.0,0.0,1.0,0.0
2011-02-12,,,,,
2011-02-19,,,,,
2011-02-26,,,,,
2011-03-05,11.0,1.0,0.0,1.0,0.0
2011-03-12,,,,,
2011-03-19,,,,,
2011-03-26,,,,,
2011-04-02,11.0,1.0,0.0,1.0,0.0
2011-04-09,,,,,
2011-04-16,,,,,
2011-04-23,,,,,
2011-04-30,,,,,
2011-05-07,10.0,1.0,0.0,1.0,0.0
2011-05-14,,,,,
2011-05-21,,,,,
2011-05-28,,,,,
2011-06-04,12.0,1.0,0.0,1.0,0.0
2011-06-11,,,,,
2011-06-18,,,,,
2011-06-25,,,,,
2011-07-02,12.0,1.0,0.0,1.0,0.0
2011-07-09,,,,,
2011-07-16,,,,,
2011-07-23,,,,,
2011-07-30,,,,,
2011-08-06,12.0,1.0,0.0,1.0,0.0
2011-08-13,,,,,
2011-08-20,,,,,
2011-08-27,,,,,
2011-09-03,12.0,1.0,0.0,1.0,0.0
2011-09-10,,,,,
2011-09-17,,,,,
2011-09-24,,,,,
2011-10-01,12.0,1.0,0.0,1.0,0.0
2011-10-08,,,,,
2011-10-15,,,,,
2011-10-22,,,,,
2011-10-29,,,,,
2011-11-05,11.0,1.0,0.0,1.0,0.0
2011-11-12,,,,,
2011-11-19,,,,,
2011-11-26,,,,,
2011-12-03,12.0,1.0,0.0,1.0,0.0
2011-12-10,,,,,
2011-12-17,,,,,
2011-12-24,,,,,
2011-12-31,,,,,
2012-01-07,13.0,1.0,0.0,1.0,0.0
2012-01-14,,,,,
2012-01-21,,,,,
2012-01-28,,,,,
2012-02-04,12.0,1.0,0.0,1.0,0.0
2012-02-11,,,,,
