p,d,q,AIC,BIC,RMSE,status
0,0,0,61340.25243495029,61351.44722759072,16986.460444744127,success
0,0,1,46858.27397637281,46875.06616533345,16949.21526319146,success
0,0,2,46390.159684542785,46412.549269823634,16921.864988863334,success
0,0,3,46104.064954077025,46132.051935678086,16869.650702923347,success
0,1,0,45760.722028245946,45766.31892268409,4847.677004147292,success
0,1,1,45761.61233142539,45772.806120301684,4872.092955328174,success
0,1,2,45710.97151914498,45727.76220245942,4682.994750999083,success
0,1,3,45644.78959685295,45667.177174605524,4681.732347252779,success
1,0,0,45633.240872326474,45650.03306128711,16346.735243028272,success
1,0,1,45611.08179513422,45633.47138041507,16494.55556999052,success
1,0,2,45610.37049011797,45638.357471719035,16423.58986575805,success
1,0,3,45610.030511454795,45643.61488937607,16263.797438463433,success
1,1,0,45761.8906059925,45773.08439486879,4866.1483578173165,success
1,1,1,45612.29063673521,45629.08132004965,4800.276054906765,success
1,1,2,45566.45600748426,45588.843585236835,4784.782880821303,success
1,1,3,45565.11813592844,45593.10260811916,4791.875494066922,success
2,0,0,45613.3787552523,45635.76834053315,16501.781882890475,success
2,0,1,45603.71586196745,45631.70284356851,16414.260154137417,success
2,0,2,45603.57904190465,45637.16341982593,16456.865432607607,success
2,0,3,45568.936011601865,45608.11778584335,13781.548644673054,success
2,1,0,45729.995144440014,45746.78582775445,4792.258632043768,success
2,1,1,45565.75068826965,45588.13826602222,4799.514546487533,success
2,1,2,45571.389217977885,45599.373690168606,4764.089486556549,success
2,1,3,45561.418126325225,45594.99949295409,4772.553317883496,success
3,0,0,45610.1623830098,45638.149364610865,16422.98146658084,success
3,0,1,45603.57855346425,45637.16293138552,16460.64664144822,success
3,0,2,45605.558393713596,45644.74016795508,16459.710982208573,success
3,0,3,45597.874333859996,45642.6535044217,16480.494198529483,success
3,1,0,45709.97192455883,45732.3595023114,4688.866776928615,success
3,1,1,45566.351904369294,45594.336376560015,4809.675253869482,success
3,1,2,45557.81786511226,45591.399231741125,4785.156624884694,success
3,1,3,45550.08004527292,45589.258306339936,4846.416585952891,success
4,0,0,45609.50729354609,45643.091671467366,16352.602865705141,success
4,0,1,45605.537986906784,45644.71976114827,16454.372489011348,success
4,0,2,45565.978709849354,45610.75788041106,13734.754493196546,success
4,0,3,45604.34157536972,45654.71814225164,16452.662582553767,success
4,1,0,45662.46805716006,45690.45252935078,4602.985241835011,success
4,1,1,45561.09434967955,45594.67571630842,4839.471263608744,success
4,1,2,45548.206719771086,45587.3849808381,4811.3132301214755,success
4,1,3,45545.078823006144,45589.8539785113,4793.5498112893665,success
