p,d,q,AIC,BIC,RMSE,status
0,0,0,53794.49536375905,53805.68915263534,3655.466869633116,success
0,0,1,39033.32164080032,39050.11232411476,3640.305411815166,success
0,0,2,38318.77817504065,38341.165752793226,3633.5460807997133,success
0,0,3,37958.4270956657,37986.41156785642,3622.304219197339,success
0,1,0,37913.20293937405,37918.799331678114,917.1144285202365,success
0,1,1,37882.97012842454,37894.16291303267,912.6285605486386,success
0,1,2,37884.96595733566,37901.755134247855,912.4004889468238,success
0,1,3,37844.931082372044,37867.3166515883,917.9769440536621,success
1,0,0,37805.42883733349,37822.21952064793,3473.212425504419,success
1,0,1,37737.315543107594,37759.70312086017,3522.866664992507,success
1,0,2,37714.88296659471,37742.86743878543,3553.0173258297805,success
1,0,3,37716.845431000635,37750.4267976295,3554.837914116791,success
1,1,0,37884.102831163334,37895.295615771465,912.3391378882384,success
1,1,1,37884.946006047045,37901.73518295924,912.565988303845,success
1,1,2,37726.991114826094,37749.37668404235,2231.1729403903087,success
1,1,3,37696.92971088987,37724.91167241019,1219.8037366394494,success
2,0,0,37724.81409185745,37747.201669610025,3544.4397833671783,success
2,0,1,37724.10029246329,37752.08476465401,3554.769062836978,success
2,0,2,37716.85484106437,37750.43620769324,3553.8465331498433,success
2,0,3,37703.61399042879,37742.792251495805,3060.9910279516685,success
2,1,0,37882.43251665775,37899.22169356994,913.2116653308833,success
2,1,1,37706.85090035171,37729.236469567964,1330.5096045162893,success
2,1,2,37702.074071225084,37730.05603274541,1051.5459820205442,success
2,1,3,37697.76489926451,37731.3432530889,1113.9996356325312,success
3,0,0,37722.07355858508,37750.0580307758,3559.444947117633,success
3,0,1,37721.763745810465,37755.34511243933,3557.795998260521,success
3,0,2,37714.989356453734,37754.16761752075,3532.6498901228106,success
3,0,3,37702.900644971756,37747.675800476914,3132.689379609022,success
3,1,0,37840.46799249618,37862.853561712436,913.6509801391535,success
3,1,1,37703.80946557296,37731.79142709328,1025.7890177270676,success
3,1,2,37702.111731330835,37735.69008515522,1051.2928603979715,success
3,1,3,37698.65071344651,37737.82545957495,1222.0674422904033,success
4,0,0,37715.49237072015,37749.07373734902,3537.258340193437,success
4,0,1,37702.86674998769,37742.0450110547,3263.244018803365,success
4,0,2,37704.492993693275,37749.26814919843,3218.4919810447554,success
4,0,3,37704.69937688699,37755.07142683029,3108.47516253882,success
4,1,0,37809.6692382319,37837.651199752225,920.6926272024903,success
4,1,1,37700.712251498946,37734.29060532333,1165.5120603885148,success
4,1,2,37687.11363995991,37726.28838608836,995.3470004383544,success
4,1,3,37680.01069565004,37724.781834082554,1215.6033036510114,success
