p,d,q,AIC,BIC,RMSE,status
0,0,0,58142.32035306983,58153.51414194612,8332.416502077756,success
0,0,1,43891.887920767556,43908.67860408199,8310.191231217337,success
0,0,2,43192.90850276852,43215.2960805211,8325.776914821248,success
0,0,3,43014.004195892376,43041.9886680831,8292.443099927454,success
0,1,0,42569.164559997065,42574.76095230113,4969.0176875159295,success
0,1,1,42549.05011784391,42560.24290245204,4959.239673832585,success
0,1,2,42546.057707959226,42562.84688487142,4941.612389225114,success
0,1,3,42366.35540952149,42388.74097873775,4979.17112802465,success
1,0,0,42440.42844342686,42457.2191267413,8042.0975137643945,success
1,0,1,42440.76632103302,42463.1538987856,8021.854489673794,success
1,0,2,42425.35541580028,42453.339887991,8143.389238319006,success
1,0,3,42326.92639005653,42360.507756685394,7827.1446567062985,success
1,1,0,42549.758313974526,42560.95109858266,4963.43777678028,success
1,1,1,42514.52294108119,42531.31211799338,4941.6129615496275,success
1,1,2,42428.82226470868,42451.207833924935,9115.228480278112,success
1,1,3,42364.24565747293,42392.22761899325,4978.834532356441,success
2,0,0,42440.47746699343,42462.865044746,8019.429266033554,success
2,0,1,42400.11471928367,42428.09919147439,7998.448590402563,success
2,0,2,42387.863068772116,42421.44443540098,8114.416056789041,success
2,0,3,42328.91509468397,42368.093355750985,7825.739339427366,success
2,1,0,42551.60606507538,42568.39524198757,4966.1888178414065,success
2,1,1,42424.245452400544,42446.6310216168,8845.461007062204,success
2,1,2,42390.31625919683,42418.29822071715,8901.493282036643,success
2,1,3,42361.788733165246,42395.36708698963,4989.5293530724075,success
3,0,0,42429.88201709058,42457.8664892813,8088.44396065617,success
3,0,1,42392.304912884836,42425.8862795137,8057.326992672126,success
3,0,2,42331.91676704215,42371.095028109165,8103.465411839788,success
3,0,3,42321.42707688445,42366.20223238961,7913.908327931685,success
3,1,0,42397.54267946533,42419.92824868159,4938.984132686828,success
3,1,1,42387.96490144825,42415.94686296857,4943.901511768113,success
3,1,2,42388.76776010218,42422.346113926564,4947.743894107303,success
3,1,3,42315.16874694382,42354.343493072265,5021.503662041384,success
4,0,0,42333.895744950154,42367.47711157902,7845.61326197323,success
4,0,1,42333.91141291325,42373.08967398026,7805.4386427944955,success
4,0,2,42329.33298828865,42374.108143793805,7843.761880156614,success
4,0,3,42314.12181895933,42364.49386890263,7847.559556050294,success
4,1,0,42386.27793369749,42414.259895217816,4945.296664262066,success
4,1,1,42387.907342044564,42421.48569586895,4944.126131721547,success
4,1,2,42389.73223519272,42428.90698132117,4944.236282562253,success
4,1,3,42315.771311989156,42360.54245042167,5226.107352420366,success
