p,d,q,AIC,BIC,RMSE,status
0,0,0,53840.320787347824,53896.28471038846,2127.3315891126654,success
0,0,1,39623.83839108018,39685.39318017508,2118.5148962586363,success
0,0,2,38694.63753968069,38761.78218702694,2122.840367669039,success
0,0,3,38335.79209544327,38408.52559247708,2117.43526270052,success
0,1,0,51019.02349795576,51074.982397132946,1613.722709410337,success
0,1,1,37847.78474056108,37909.33400062848,1598.730092624842,success
0,1,2,37831.73479572929,37898.87340837588,1599.5949718844304,success
0,1,3,37760.47946018503,37833.2064163382,1575.58341954285,success
1,0,0,37816.183436865285,37877.74375220999,2102.7753424549073,success
1,0,1,37751.68087713655,37818.83155614917,2104.971125863008,success
1,0,2,37730.66866980757,37803.40870443267,2105.970107602026,success
1,0,3,37712.336699811276,37790.665081232306,2105.0778093701656,success
1,1,0,37867.4077249072,37928.9625140021,1598.4361612695627,success
1,1,1,37849.76719145426,37916.91183880051,1598.9288548835002,success
1,1,2,37666.181135530445,37738.91463256426,1734.8460260761974,success
1,1,3,37616.06801332603,37694.38935072176,1536.1066035584734,success
2,0,0,37749.29943892012,37816.45011793274,2105.635176998158,success
2,0,1,37751.29555548628,37824.04212441662,2104.4386122078295,success
2,0,2,37692.893879710806,37771.22930161476,1682.8972376601087,success
2,0,3,37658.787447867755,37742.710713676,1820.2777280971322,success
2,1,0,37846.137577342684,37913.282224688934,1600.0267683639133,success
2,1,1,37669.14992108218,37741.88995570728,1538.1902277862719,success
2,1,2,37644.90161707249,37723.22999849352,1522.1222136771885,success
2,1,3,37616.431749852425,37700.347468490705,1524.7502933222017,success
3,0,0,37732.9675033731,37805.7075379982,2105.603089622077,success
3,0,1,37734.793884030296,37813.12930593425,2093.807349733365,success
3,0,2,37681.605986763956,37765.53679594676,1996.641294309469,success
3,0,3,37661.81769315154,37751.335843347006,1811.3944794120405,success
3,1,0,37781.671990962015,37854.40548799583,1583.7475879107806,success
3,1,1,37641.35545329035,37719.68383471138,1522.297453170069,success
3,1,2,37639.14491801721,37723.06818382546,1522.2379484185392,success
3,1,3,37617.63694267196,37707.14704255279,1531.0851000050063,success
4,0,0,37705.29550759509,37783.62388901612,2104.728705386206,success
4,0,1,37660.17631299257,37744.099578800815,1932.0856874093745,success
4,0,2,37666.30465950138,37755.822809696845,1769.2424789968577,success
4,0,3,37655.50155650432,37750.614591087004,1956.5465344577608,success
4,1,0,37728.47846014057,37806.799797536296,1589.9991295254142,success
4,1,1,37620.09237441595,37704.00809305423,1525.8564348442728,success
4,1,2,37611.11085456246,37700.620954443286,1522.387558013619,success
4,1,3,37596.847024442846,37691.95150556623,1533.7867360894757,success
