p,d,q,AIC,BIC,RMSE,status
0,0,0,58119.649553109615,58175.613476150254,5248.534687593676,success
0,0,1,43851.31983423345,43912.87462332835,5240.061512062081,success
0,0,2,43229.22077396428,43296.36542131053,5274.902931751744,success
0,0,3,43062.38780816663,43135.121305200446,5238.29658908595,success
0,1,0,55686.43076108316,55742.38966026035,5576.636282204005,success
0,1,1,42517.12843923237,42578.67769929977,5605.476514373412,success
0,1,2,42491.95226337147,42559.09087601807,5685.985472679135,success
0,1,3,42285.230043450356,42357.95699960353,5262.90696665009,success
1,0,0,42467.335017650556,42528.895332995264,5187.820909917544,success
1,0,1,42445.499211160975,42512.6498901736,5185.768080515829,success
1,0,2,42426.93612664635,42499.676161271454,5184.474709151817,success
1,0,3,42287.608604948386,42365.936986369416,5167.667814437878,success
1,1,0,42538.52432620122,42600.079115296125,5590.378727918719,success
1,1,1,42483.99611972116,42551.14076706741,5741.6435033442585,success
1,1,2,42382.27876310257,42455.012260136384,4973.935132072438,success
1,1,3,42282.96475989272,42361.286097288445,5196.764679958132,success
2,0,0,42445.44987756695,42512.60055657957,5185.94208815976,success
2,0,1,42423.55820242045,42496.30477135079,5183.722596182275,success
2,0,2,42391.61975039853,42469.955172302485,5126.670554611361,success
2,0,3,42289.205303921386,42373.12856972963,5164.819541205949,success
2,1,0,42520.07959395135,42587.2242412976,5584.972215427976,success
2,1,1,42533.175767042354,42605.915801667456,5715.887329393223,success
2,1,2,42340.76019370717,42419.0885751282,9602.292508284052,success
2,1,3,42282.942953433754,42366.858672072034,5059.25029290312,success
3,0,0,42426.42553620962,42499.165570834724,5187.394877846058,success
3,0,1,42401.82453126217,42480.15995316613,5184.904139154285,success
3,0,2,42362.73321350076,42446.664022683566,4997.906146418761,success
3,0,3,42278.59467817719,42368.11282837266,5180.5224149934975,success
3,1,0,42340.43308550834,42413.16658254215,5800.127378764726,success
3,1,1,42328.90559585959,42407.23397728062,5785.824670780314,success
3,1,2,42330.12340092568,42414.04666673393,5849.849837371327,success
3,1,3,42238.78196542652,42328.292065307345,4999.929041534465,success
4,0,0,42295.016101052606,42373.344482473636,5171.042477375093,success
4,0,1,42288.85790318987,42372.78116899812,5165.306635857267,success
4,0,2,42285.908830753906,42375.42698094937,5167.45741701454,success
4,0,3,42263.41261542434,42358.525650007025,5153.711802389635,success
4,1,0,42307.10910457297,42385.430441968696,5819.068158360209,success
4,1,1,42308.900257340065,42392.815975978345,5814.383781907609,success
4,1,2,42308.252593664074,42397.7626935449,5824.023777466226,success
4,1,3,42268.07037931045,42363.17486043383,7867.802166913385,success
