p,d,q,AIC,BIC,RMSE,status
0,0,0,36899.005905133425,36910.24437196588,681.0565180764565,success
0,0,1,34968.0195475091,34984.87724775778,678.456686838,success
0,0,2,34193.81266360334,34216.289597268245,676.2374384083207,success
0,0,3,34033.446048474994,34061.54221555613,674.7486289196379,success
0,0,4,33885.14505248425,33918.860452981615,673.4046604515393,success
0,0,5,33830.5744460715,33869.90907998509,671.8171270548573,success
0,0,6,33812.18190138614,33857.135768715954,671.1615821950418,success
0,1,0,34265.87712212987,34271.49586450754,199.2159149496615,success
0,1,1,34022.95871406721,34034.19619882255,205.72211080414826,success
0,1,2,33947.381094064796,33964.237321197805,197.80390521777144,success
0,1,3,33855.556988304976,33878.031957815656,197.68384625841765,success
0,1,4,33837.482023686156,33865.57573557451,205.0774310946336,success
0,1,5,33778.42926988006,33812.14172414608,262.7126597850844,success
0,1,6,33760.69243909368,33800.02363573737,297.59718255841574,success
1,0,0,34140.95373540971,34157.81143565839,652.9425474967685,success
1,0,1,33782.34505335649,33804.821987021394,664.6392943309975,success
1,0,2,33781.26499102536,33809.3611581065,662.9724977879155,success
1,0,3,33770.334237736526,33804.04963823389,657.1989012439003,success
1,0,4,33768.45592921715,33807.79056313074,661.9308749393765,success
1,0,5,33760.84526785135,33805.799135181165,642.4101671131989,success
1,0,6,33754.93637354463,33805.50947429067,614.721222637659,success
1,1,0,34152.32215171783,34163.559636473175,198.36427940705624,success
1,1,1,33987.906891454084,34004.76311858709,200.2655316083909,success
1,1,2,33763.27959261772,33785.7545621284,380.472837153628,success
1,1,3,33761.818039224236,33789.91175111259,388.9473731243099,success
1,1,4,33758.78632576358,33792.49878002961,565.0572739360865,success
1,1,5,33749.66906147628,33789.00025811997,366.209870745755,success
1,1,6,33750.82549555082,33795.77543457218,424.31109559073224,success
2,0,0,33913.09510253191,33935.57203619681,667.8363919633517,success
2,0,1,33782.24618829528,33810.342355376415,663.6157959654834,success
2,0,2,33764.04260869813,33797.758009195495,595.9704190306599,success
2,0,3,33766.555763907476,33805.890397821066,659.7641418067611,success
2,0,4,33774.320112250396,33819.27397958021,657.5400270405435,success
2,0,5,33751.72570697506,33802.298807721105,597.8386716465848,success
2,0,6,33753.79195053569,33809.98428469796,597.437944119908,success
2,1,0,33926.32908504831,33943.18531218132,198.86965222084868,success
2,1,1,33920.04950355853,33942.524473069214,198.843924826615,success
2,1,2,33761.8347377685,33789.92844965685,386.5506999464682,success
2,1,3,33760.79020982385,33794.50266408987,356.583892690522,success
2,1,4,33753.006524918645,33792.33772156234,496.1740264263859,success
2,1,5,33751.24670422326,33796.19664324462,381.96344372200025,success
2,1,6,33753.600244967594,33804.16892636663,366.8217160746399,success
3,0,0,33800.96949085119,33829.065657932326,655.632061174438,success
3,0,1,33772.99339939626,33806.708799893626,659.7584407453351,success
3,0,2,33765.18436115038,33804.51899506397,661.4304922506853,success
3,0,3,33761.32558983203,33806.27945716184,599.3484185018484,success
3,0,4,33757.74453136396,33808.31763211,595.3011503318144,success
3,0,5,33776.31409976825,33832.50643393052,656.214817167914,success
3,0,6,33755.796287853256,33817.60785543175,597.6158522006651,success
3,1,0,33925.33165272606,33947.80662223674,198.93904958091105,success
3,1,1,33919.273578938475,33947.36729082683,198.76106416176532,success
3,1,2,33760.84472097059,33794.557175236616,523.2197642104668,success
3,1,3,33751.11460961336,33790.445806257056,478.73220980203286,success
3,1,4,33751.639568531304,33796.589507552664,447.0493342274605,success
3,1,5,33752.68109564464,33803.249777043675,394.34360860631386,success
3,1,6,33754.80770709456,33810.99513087126,390.95653635661074,success
4,0,0,33775.49164419307,33809.20704469043,663.0218495199704,success
4,0,1,33772.48985428063,33811.82448819422,661.7405250762291,success
4,0,2,33767.175968276315,33812.12983560613,661.4485996316873,success
4,0,3,33769.182968953144,33819.756069699186,661.3446184559745,success
4,0,4,33758.76289641772,33814.95523057999,597.0832807448876,success
4,0,5,33763.70234380978,33825.513911388276,608.7921467812489,success
4,0,6,33757.78231945667,33825.21312045139,598.2966085238389,success
4,1,0,33883.92769102173,33912.02140291008,198.03195292544825,success
4,1,1,33759.020625202946,33792.73307946897,348.16366995622,success
4,1,2,33756.963994298,33796.295190941695,370.4105584951816,success
4,1,3,33752.200587750296,33797.15052677166,423.45181248739567,success
4,1,4,33753.183498105645,33803.75217950468,405.6998455414157,success
4,1,5,33754.49204680418,33810.679470580886,399.9073083192269,success
4,1,6,33756.48827960754,33818.294445761916,402.16290980753286,success
5,0,0,33767.37440384642,33806.70903776001,658.3421431534787,success
5,0,1,33755.329873472,33800.28374080182,604.0607524912969,success
5,0,2,33769.072297092556,33819.6453978386,659.9372000835962,success
5,0,3,33758.42760060128,33814.61993476355,633.6341677398253,success
5,0,4,33770.23656162865,33832.04812920714,657.5557364238329,success
5,0,5,33760.716913839235,33828.147714833955,605.454107001078,success
5,0,6,33759.50963559361,33832.55967000456,602.2933177899497,success
5,1,0,33860.27182616772,33893.984280433746,197.82595049538938,success
5,1,1,33755.63415441379,33794.965351057486,420.86057342457053,success
5,1,2,33761.2871679081,33806.23710692946,347.0117010878332,success
5,1,3,33753.60378359145,33804.17246499048,395.6584920477583,success
5,1,4,33754.89166909772,33811.079092874425,398.76202367962975,success
5,1,5,33755.82891793234,33817.635084086716,430.2098674583652,success
5,1,6,33758.28766133357,33825.71256986562,418.82312119249224,success
6,0,0,33764.31098448565,33809.26485181547,654.2239034872625,success
6,0,1,33765.06696188121,33815.64006262725,655.9998562633343,success
6,0,2,33757.45761194932,33813.64994611159,604.5906254556699,success
6,0,3,33755.56360185872,33817.37516943721,598.0608143059098,success
6,0,4,33759.22985449109,33826.66065548581,595.1183114515827,success
6,0,5,33761.853107785384,33834.90314219633,597.4665574302381,success
6,0,6,33762.93716573992,33841.60643356709,598.8097746665233,success
6,1,0,33856.74910450798,33896.08030115168,197.7160151658762,success
6,1,1,33754.1030729738,33799.05301199516,1016.6598747100305,success
6,1,2,33755.10402108985,33805.67270248888,531.7093711888887,success
6,1,3,33755.69525294367,33811.88267672037,378.7185151558489,success
6,1,4,33756.1040774392,33817.91024359358,403.6913320719615,success
6,1,5,33757.81955860283,33825.24446713488,424.6421467626666,success
6,1,6,33758.65813022314,33831.701781132855,418.79528995282834,success
7,0,0,33766.28239041506,33816.8554911611,654.5813228363662,success
7,0,1,33766.93364749464,33823.12598165691,655.3628367683694,success
7,0,2,33757.50446442205,33819.31603200054,595.8116641797291,success
7,0,3,33754.69880966448,33822.1296106592,602.3730879937324,success
7,0,4,33756.350973621935,33829.40100803288,611.4645879656948,success
7,0,5,33758.505009767825,33837.174277595,572.6291104805063,success
7,0,6,33762.66671497542,33846.95521621883,610.7852440015181,success
7,1,0,33838.07473077714,33883.0246697985,197.7093685502633,success
7,1,1,33755.556237871075,33806.12491927011,472.7779412430174,success
7,1,2,33756.06450327457,33812.25192705127,483.3346240357744,success
7,1,3,33753.06705943977,33814.87322559414,1047.256573596128,success
7,1,4,33752.99248571672,33820.41739424877,1010.2652064692335,success
7,1,5,33759.85164058559,33832.895291495304,420.4266369419835,success
7,1,6,33760.55254112836,33839.214934415744,435.9856945241886,success
8,0,0,33763.198188316645,33819.39052247891,649.4642119027397,success
8,0,1,33756.515294320096,33818.32686189859,602.6418709978255,success
8,0,2,33757.64563116476,33825.07643215948,600.2903538689206,success
8,0,3,33754.76152416106,33827.81155857201,596.9873683981034,success
8,0,4,33764.28080060364,33842.950068430815,598.4714827224993,success
8,0,5,33759.626365611846,33843.91486685525,585.521641283397,success
8,0,6,33766.0396881949,33855.94742285453,590.6223047986823,success
8,1,0,33832.7858569614,33883.354538360436,197.61798422610772,success
8,1,1,33752.19452789145,33808.381951668154,976.4034295490699,success
8,1,2,33759.10969635091,33820.91586250529,481.7643152286373,success
8,1,3,33755.11053815804,33822.53544669009,915.7081159461886,success
8,1,4,33759.53953295875,33832.58318386846,703.2202689451638,success
8,1,5,33761.84746589753,33840.50985918492,416.3141738337499,success
8,1,6,33760.57569176049,33844.856827425545,396.02019364464746,success
