p,d,q,AIC,BIC,RMSE,status
0,0,0,53794.49536375905,53805.68915263534,3655.466869633115,success
0,0,1,39033.32164082606,39050.1123241405,3640.308034324256,success
0,0,2,38318.77817501209,38341.16575276467,3633.5429339957022,success
0,0,3,37958.427095661944,37986.411567852665,3622.304253443775,success
0,0,4,38040.73115351751,38074.31252014638,3617.9584876139193,success
0,0,5,37778.321049331505,37817.49931039852,3610.057205225729,success
0,0,6,37892.350101749966,37937.125257255124,3606.0305503278673,success
0,1,0,37913.20293937405,37918.799331678114,917.1144285202365,success
0,1,1,37882.97012842454,37894.16291303267,912.6285605486183,success
0,1,2,37884.96595733566,37901.755134247855,912.4004889462622,success
0,1,3,37844.93108237204,37867.31665158829,917.9769440482852,success
0,1,4,37759.36193229127,37787.343893811594,914.2867317126615,success
0,1,5,37738.79853849583,37772.376892320215,912.8914570278074,success
0,1,6,37705.79780199149,37744.972548119935,932.6823688254375,success
1,0,0,37805.42883733349,37822.21952064793,3473.212425504418,success
1,0,1,37737.31554310759,37759.70312086016,3522.866664992804,success
1,0,2,37714.88296659469,37742.86743878541,3553.017326303223,success
1,0,3,37716.845431000875,37750.42679762974,3554.8379136776452,success
1,0,4,37710.032652227266,37749.21091329428,3511.004922309289,success
1,0,5,37711.57410778856,37756.34926329372,3485.638294528256,success
1,0,6,37701.34734974078,37751.71939968409,3326.71406826361,success
1,1,0,37884.102831163334,37895.295615771465,912.3391378882384,success
1,1,1,37884.94600604688,37901.73518295907,912.5659883131873,success
1,1,2,37726.99111481224,37749.376684028495,2231.173247277886,success
1,1,3,37696.92971088318,37724.911672403505,1219.80369979839,success
1,1,4,37695.98782688193,37729.566180706315,1090.9475042712354,success
1,1,5,37695.53078064142,37734.70552676987,1326.146716983766,success
1,1,6,37696.1472546583,37740.91839309082,1103.7041654165926,success
2,0,0,37724.81409185744,37747.20166961002,3544.4397832944783,success
2,0,1,37724.10029246325,37752.08476465397,3554.769062850737,success
2,0,2,37716.85484106454,37750.436207693405,3553.846533205409,success
2,0,3,37703.613990452955,37742.79225151997,3060.991578839278,success
2,0,4,37701.85853158403,37746.63368708919,3126.5788880325936,success
2,0,5,37703.0735044,37753.44555434331,2953.3863176992472,success
2,0,6,37701.86572425137,37757.834668632815,3249.257705009361,success
2,1,0,37882.43251665775,37899.22169356994,913.2116653308833,success
2,1,1,37706.85090034155,37729.23646955781,1330.5137158798475,success
2,1,2,37702.07407121535,37730.05603273567,1051.5460026610824,success
2,1,3,37697.7648992654,37731.343253089784,1113.9996119103173,success
2,1,4,37676.49176062892,37715.66650675736,1135.8364152533704,success
2,1,5,37684.98663642122,37729.75777485374,3542.2281299215833,success
2,1,6,37683.45291729127,37733.82044802785,3505.109805182995,success
