p,d,q,AIC,BIC,RMSE,status
0,0,0,58142.32035306983,58153.51414194612,8332.416502077756,success
0,0,1,43891.887920767556,43908.67860408199,8310.191231217337,success
0,0,2,43192.908502768165,43215.29608052074,8325.776914777365,success
0,0,3,43014.004195892165,43041.988668082886,8292.44309989226,success
0,0,4,42897.645875693845,42931.22724232271,8261.448171554906,success
0,0,5,42756.679055975415,42795.85731704243,8303.166106725881,success
0,0,6,42658.009748346885,42702.78490385204,8280.302018056173,success
0,1,0,42569.164559997065,42574.76095230113,4969.0176875159295,success
0,1,1,42549.05011784391,42560.24290245204,4959.239673832585,success
0,1,2,42546.05770795922,42562.84688487141,4941.6123893236845,success
0,1,3,42366.35540952148,42388.74097873773,4979.171128038475,success
0,1,4,42364.460997248956,42392.44295876928,4975.9531407825225,success
0,1,5,42366.005900017706,42399.58425384209,4974.263107272191,success
0,1,6,42357.01260818602,42396.18735431447,5050.866430025342,success
1,0,0,42440.42844342686,42457.2191267413,8042.0975137643945,success
1,0,1,42440.766321033036,42463.15389878561,8021.854489928563,success
1,0,2,42425.35541580029,42453.33988799101,8143.389238181757,success
1,0,3,42326.92639005676,42360.50775668563,7827.144639666486,success
1,0,4,42329.02730771464,42368.205568781654,7825.147940785633,success
1,0,5,42319.01770344407,42363.79285894923,7964.197006181001,success
1,0,6,42320.9105420014,42371.282591944706,7973.363213125157,success
1,1,0,42549.758313974526,42560.95109858266,4963.43777678028,success
1,1,1,42514.52294108105,42531.31211799324,4941.612960919102,success
1,1,2,42428.822263716385,42451.20783293264,9115.211400275482,success
1,1,3,42364.24565747296,42392.22761899328,4978.834532488114,success
1,1,4,42365.04739338234,42398.62574720672,4978.364833075243,success
1,1,5,42367.091023565015,42406.26576969346,4978.374419982545,success
1,1,6,42305.19939969101,42349.970538123525,8462.738154433378,success
2,0,0,42440.47746699343,42462.865044746,8019.429266033554,success
2,0,1,42400.11471928373,42428.09919147445,7998.448592329588,success
2,0,2,42387.86306877204,42421.44443540091,8114.416056617544,success
2,0,3,42328.91509468417,42368.09335575118,7825.739332706138,success
2,0,4,42328.91173373486,42373.686889240016,7934.702400601798,success
2,0,5,42320.84987380562,42371.221923748926,7983.396915070205,success
2,0,6,42322.881835182634,42378.850779564076,7970.317050314824,success
2,1,0,42551.60606507538,42568.39524198757,4966.1888178414065,success
2,1,1,42424.245477295255,42446.63104651151,8849.376140042928,success
2,1,2,42390.31625924345,42418.298220763776,8901.499544868242,success
2,1,3,42361.788733164096,42395.36708698848,4989.529356555754,success
2,1,4,42366.4478477437,42405.62259387215,4981.864821158057,success
2,1,5,42310.18983153029,42354.960969962805,7985.106465560069,success
2,1,6,42306.94897193145,42357.31650266803,8798.6689523866,success
3,0,0,42429.88201709065,42457.86648928137,8088.443961435623,success
3,0,1,42392.30491288479,42425.88627951366,8057.326990433813,success
3,0,2,42331.91676704241,42371.09502810942,8103.465412230527,success
3,0,3,42321.42707688341,42366.20223238857,7913.908286582638,success
3,0,4,42319.58925131828,42369.96130126158,8034.07161352985,success
3,0,5,42322.73910665515,42378.70805103659,7987.04832565107,success
3,0,6,42324.79495707805,42386.360795897635,7984.318609252246,success
3,1,0,42397.54267946533,42419.92824868159,4938.984132686828,success
3,1,1,42387.96490144834,42415.94686296866,4943.901511765681,success
3,1,2,42388.76776010187,42422.34611392626,4947.7438942784265,success
3,1,3,42315.16874688905,42354.3434930175,5021.503397424862,success
3,1,4,42314.381838575675,42359.15297700819,6630.073915159129,success
3,1,5,42303.1896652405,42353.557195977075,8656.476238028865,success
3,1,6,42289.438609853096,42345.402532893735,8850.6351481554,success
4,0,0,42333.895744950205,42367.47711157907,7845.613261982193,success
4,0,1,42333.91141291322,42373.089673980234,7805.438646872779,success
4,0,2,42329.33298828844,42374.1081437936,7843.761883934314,success
4,0,3,42314.12181919027,42364.49386913358,7847.5592353369475,success
4,0,4,42314.970366109344,42370.93931049079,7984.127269573218,success
4,0,5,42312.13834816309,42373.70418698268,7998.914990286141,success
4,0,6,42306.02307591829,42373.18580917602,7868.310477106594,success
4,1,0,42386.27793369749,42414.259895217816,4945.296664262066,success
4,1,1,42387.907342043756,42421.48569586814,4944.126131776628,success
4,1,2,42389.73223522007,42428.90698134852,4944.236328712885,success
4,1,3,42315.77130985151,42360.542448284024,5226.066585798091,success
4,1,4,42299.34936230126,42349.71689303784,9760.279522832,success
4,1,5,42302.73364180815,42358.697564848786,9060.704102355672,success
4,1,6,42277.92726139062,42339.48757673533,8434.492089602729,success
5,0,0,42332.79268252786,42371.970943594875,7790.372596031236,success
5,0,1,42333.14152577553,42377.91668128069,7799.7987153440245,success
5,0,2,42323.14152832929,42373.51357827259,8029.855607025698,success
5,0,3,42312.06063509309,42368.02957947453,7879.95564222583,success
5,0,4,42303.721326436294,42365.28716525588,7720.017142725492,success
5,0,5,42283.128932844294,42350.29166610203,7903.412448711472,success
5,0,6,42300.44620654036,42373.205834236236,7727.840547132127,success
5,1,0,42387.85307583663,42421.43142966102,4944.356680509811,success
5,1,1,42389.88671454617,42429.06146067462,4944.662945510613,success
5,1,2,42391.90661641239,42436.6777548449,4944.357213071402,success
5,1,3,42308.969817354715,42359.33734809129,9217.49825680406,success
5,1,4,42300.78263519532,42356.74655823596,9259.04659486237,success
5,1,5,42295.55221160676,42357.11252695147,9686.219602330222,success
5,1,6,42278.88176747511,42346.03847512388,8853.826254962161,success
6,0,0,42328.60781184847,42373.38296735363,7873.619253088957,success
6,0,1,42328.40188031409,42378.7739302574,7918.996978229978,success
6,0,2,42293.37233450737,42349.34127888881,7852.997792903612,success
6,0,3,42294.910759528844,42356.47659834843,7847.98479146832,success
6,0,4,42286.41019597832,42353.572929236056,7841.716350388775,success
6,0,5,42263.87404717587,42336.63367487175,7891.40574559797,success
6,0,6,42265.931010549066,42344.28753268309,7904.648155694304,success
6,1,0,42389.79280680573,42428.96755293418,4942.841436614259,success
6,1,1,42314.327543191015,42359.09868162353,8186.414750837197,success
6,1,2,42354.2337061157,42404.60123685228,4944.512086205343,success
6,1,3,42280.33083274253,42336.29475578317,9878.224868602354,success
