p,d,q,AIC,BIC,RMSE,status
0,0,0,61846.0200073117,61896.392057255005,9475.73761080262,success
0,0,1,47308.28137344155,47364.245296482186,9457.49533081236,success
0,0,2,46817.77349369664,46879.32828279154,9450.95703751051,success
0,0,3,46517.236378487934,46584.381025834184,9409.33438045863,success
0,0,4,46442.096003442275,46514.82950047609,9404.15313978585,success
0,0,5,46367.760699024366,46446.08203642009,9411.750264686641,success
0,0,6,46336.95887457148,46420.867042240556,9394.099055779683,success
0,1,0,58887.932230658414,58938.29976139499,5798.456833192791,success
0,1,1,45731.1274303338,45787.08632951099,5758.996914113007,success
0,1,2,45656.58239202821,45718.13165209561,6001.3814653788495,success
0,1,3,45566.23790488074,45633.37651752734,5496.582335042416,success
0,1,4,45459.54911369381,45532.27606984698,5127.529536174337,success
0,1,5,45437.64368148213,45515.9579713066,5077.832033883609,success
0,1,6,45400.98828590097,45484.888898797784,4971.8105444888215,success
1,0,0,45663.10154094726,45719.0704853287,9221.583537943932,success
1,0,1,45626.6895476151,45688.249862959805,9255.402788103796,success
1,0,2,45596.931401797105,45664.08208080973,9215.001798438883,success
1,0,3,45562.63999260476,45635.38002722986,8931.29605601156,success
1,0,4,45471.70836204817,45550.0367434692,8060.873381230091,success
1,0,5,45450.67525963341,45534.59097827169,8019.831959369192,success
1,0,6,45416.335106167164,45505.83715168085,7898.388035973825,success
1,1,0,45753.82884442545,45809.79276746609,5769.081517750409,success
1,1,1,45594.66809488856,45656.222883983464,4966.060604240012,success
1,1,2,45515.83423426364,45582.97888160989,4964.712890348179,success
1,1,3,45490.79560684828,45563.529103882094,4972.321762550256,success
1,1,4,45456.20711872787,45534.5284561236,5003.638764967343,success
1,1,5,45435.24538288362,45519.1535505527,5002.264950942807,success
1,1,6,45402.740972364336,45492.234959454276,4981.112229670151,success
2,0,0,45629.00405539405,45690.56437073876,9254.147482603294,success
2,0,1,45616.94238181235,45684.09908946112,9241.042330568194,success
2,0,2,45844.43616568505,45917.182734615395,8839.942759341651,success
2,0,3,45507.796739417776,45586.13216132173,8097.879670985157,success
2,0,4,45470.570632326155,45554.4938981344,7982.223005017073,success
2,0,5,45449.97489207606,45539.48499195689,7998.454375875593,success
2,0,6,45417.82760520684,45512.92352856512,7907.780209565406,success
2,1,0,45698.53904651182,45760.09383560672,5865.748154230092,success
2,1,1,45538.91769610825,45606.06837512087,5008.252599670317,success
2,1,2,45519.25006142877,45591.99009605387,4917.398979643193,success
2,1,3,45485.30750479162,45563.63588621265,4932.250823143949,success
2,1,4,45448.67880788332,45532.5945265216,4985.670931067158,success
2,1,5,45428.77278918822,45518.2748347019,4984.80247839012,success
2,1,6,45404.64061855448,45499.72797983754,4977.195950511445,success
3,0,0,45597.61074659684,45664.76142560946,9225.736842929638,success
3,0,1,45596.796128000766,45669.54269693111,9238.340411007355,success
3,0,2,45533.658825541796,45612.00128438986,8347.690026768556,success
3,0,3,45881.12916596989,45965.0599751527,8884.700169643233,success
3,0,4,45463.58892263867,45553.10707283414,7909.756855186623,success
3,0,5,45443.69987876849,45538.804359891874,7915.0502770962485,success
3,0,6,45419.81462969539,45520.50443089828,7905.769322741418,success
3,1,0,45656.31116818891,45723.45581553516,6032.477752776131,success
3,1,1,45515.175431993826,45587.91546661893,5023.916602083511,success
3,1,2,45572.71705926553,45651.052481169485,4940.778976533375,success
3,1,3,45475.13565618232,45559.05892199057,5063.729627427583,success
3,1,4,45448.54635762211,45538.056457502935,4950.301756448721,success
3,1,5,45424.104650693014,45519.2005740513,4969.806132150412,success
3,1,6,45404.758396941186,45505.43913241737,5094.082933890497,success
4,0,0,45571.65629936214,45644.39633398724,9195.97741078131,success
4,0,1,45505.88700250485,45584.22242440881,8214.173187010378,success
4,0,2,45651.60700674795,45735.53781593076,8738.207746423537,success
4,0,3,45496.50452359782,45586.03072005948,8030.757401999286,success
4,0,4,45464.779409126844,45559.89244370953,7915.349715642885,success
4,0,5,45445.66250446078,45546.36136682671,7908.378496391667,success
4,0,6,45421.62063026895,45527.90430931645,7924.694711325348,success
4,1,0,45586.076464573154,45658.80996160697,6154.5495285724655,success
4,1,1,45485.59642976448,45563.92481118551,5043.436288963883,success
4,1,2,45544.341840113935,45628.26510592218,4989.549411245753,success
4,1,3,45467.213453281605,45556.73160347707,4987.483231885388,success
4,1,4,45444.471064717174,45539.575545840555,5031.232304711937,success
4,1,5,45423.83488326681,45524.5246844697,5038.224294422332,success
4,1,6,45404.31436995191,45510.58847962122,5040.993508498449,success
5,0,0,45523.343849423225,45601.672230844255,9107.631881400583,success
5,0,1,45522.397772850425,45606.32103865867,9152.444796539143,success
5,0,2,45462.59883635043,45552.116986545894,8018.177033414402,success
5,0,3,45516.275929475705,45611.38896405839,8495.654642540152,success
5,0,4,45490.335144191384,45591.04306316128,7968.506358030932,success
5,0,5,45438.32053823617,45544.61378184465,8215.406252046061,success
5,0,6,45417.3095466251,45529.18710351721,8190.540240945978,success
5,1,0,45559.78608594781,45638.107423343536,6047.628558217651,success
5,1,1,45464.829476045124,45548.745194683404,5035.9187701389865,success
5,1,2,45450.3748495093,45539.88494939013,5014.420828078548,success
5,1,3,45445.24637582775,45540.35085695113,5005.333382325666,success
5,1,4,45446.43832542024,45547.137187786175,5036.262248962177,success
5,1,5,45425.7616953428,45532.0453743903,5038.303077271552,success
5,1,6,45406.2176640353,45518.08514789773,5043.861255996106,success
6,0,0,45502.29759865257,45586.21331729085,9089.354774493331,success
6,0,1,45498.59431235495,45588.10441223578,9124.351609264611,success
6,0,2,45442.58989108416,45537.69437220754,8013.063384251735,success
6,0,3,54861.48648771284,54962.18535007878,8.425498855603525e+45,success
6,0,4,45471.822344838794,45578.115588447276,8003.562644129018,success
6,0,5,45441.603921047594,45553.49154589863,8119.50575155434,success
6,0,6,45419.31287534221,45536.78431007892,8167.708643783491,success
6,1,0,45488.677956249725,45572.5861239188,5802.236890660718,success
6,1,1,45429.91207643742,45519.4141219511,5107.27105719057,success
6,1,2,45424.48785450577,45519.583777864056,5054.88590581513,success
6,1,3,45425.09345471772,45525.78325592061,5019.765519800974,success
6,1,4,45426.7089601357,45532.9926391832,5037.261933591698,success
6,1,5,45428.91006082395,45540.78761771606,5021.296384452657,success
6,1,6,45406.954607715015,45524.415465770566,5059.435895224889,success
7,0,0,45447.18816152136,45536.69020703504,8945.670869463413,success
7,0,1,45418.306665923265,45513.40258928155,8159.330937863254,success
7,0,2,45414.1810553471,45514.87085654999,8082.936309012686,success
7,0,3,47615.295287019246,47721.57896606674,11747.064885129676,success
7,0,4,45420.03200604892,45531.90956294102,8019.733629568938,success
7,0,5,45420.134062941055,45537.60549767776,8110.960715967216,success
7,0,6,45419.916442973,45542.98175555431,8088.575721417673,success
7,1,0,45461.00453064537,45550.49851773531,5810.756890421264,success
7,1,1,45406.86283258371,45501.950193866774,5062.816078980915,success
7,1,2,45403.7977224342,45504.47845791039,5050.981534828913,success
7,1,3,45401.68120498159,45507.9553146509,5032.560181940827,success
7,1,4,45403.11497949815,45514.982463360575,5062.74905625911,success
7,1,5,45404.739719835474,45522.200577891024,4995.4258240383315,success
7,1,6,45407.23230933519,45530.28654158385,5067.4756079387735,success
8,0,0,45424.2570473253,45519.34440860836,8884.128111142185,success
8,0,1,45396.58906731037,45497.269802786555,8102.476114810387,success
8,0,2,45393.774715077234,45500.04882474654,8070.590502174971,success
8,0,3,45448.20187431792,45560.06935818035,8163.139195446256,success
8,0,4,52318.86402534945,52436.324883405,3.145802241762382e+50,success
8,0,5,45399.37963152157,45522.43386377024,8001.907310475809,success
8,0,6,45398.47971197338,45527.127318415165,8247.150669127199,success
8,1,0,45411.37960611086,45506.45840100422,5793.7048866495625,success
8,1,1,45382.180690846435,45482.852356027644,5087.49388552435,success
8,1,2,45382.352159284856,45488.61669475391,5074.995974493039,success
8,1,3,45383.528908689535,45495.386314446434,5059.6699978895485,success
8,1,4,45383.92667311254,45501.37694915728,5060.54423660243,success
8,1,5,45385.72743655173,45508.77058288432,5040.858847070944,success
8,1,6,45389.029636179985,45517.66565280042,5056.177259040641,success
