p,d,q,AIC,BIC,RMSE,status
0,0,0,36900.467640074305,36951.03632147334,578.4975592576569,success
0,0,1,34955.28804985183,35011.470560830596,571.8573376522869,success
0,0,2,34168.413948483794,34230.20930382649,566.8189275892437,success
0,0,3,33991.582404437664,34058.9896182012,563.4292312165749,success
0,0,4,33826.77092105984,33899.78900657292,560.4281556005699,success
0,0,5,33756.88233831704,33835.51030817916,557.3451511354929,success
0,0,6,33722.40971482053,33806.64658090107,556.6354095967793,success
0,1,0,34260.065161663435,34310.62942154433,614.4104404168656,success
0,1,1,34004.190725341905,34060.36832110799,705.8851209391197,success
0,1,2,33910.38495017261,33972.17489612252,657.6780391065837,success
0,1,3,33798.341871156445,33865.74318086082,535.3954319402767,success
0,1,4,33763.763852609285,33836.77553890983,411.54745409911584,success
0,1,5,33690.36567330661,33768.98674831511,304.7158043460148,success
0,1,6,33658.25902437726,33742.488499474646,306.66257989105554,success
1,0,0,34134.44854624501,34190.635970021714,539.1872060331604,success
1,0,1,33767.9133187234,33829.71408080004,551.8946512815622,success
1,0,2,33750.590416326995,33818.0035312463,549.8521800238664,success
1,0,3,33723.06097868065,33796.08546025782,545.6702534892565,success
1,0,4,33706.673976552745,33785.30883787452,546.2613859332918,success
1,0,5,33680.14140536869,33764.385658792395,530.9059825196485,success
1,0,6,33658.06220884595,33747.91486599852,513.8125486148663,success
1,1,0,34148.69865594564,34204.88116692441,673.388741331428,success
1,1,1,33968.489109565955,34030.28446490865,684.3256279511174,success
1,1,2,33725.20003712013,33792.607250883666,354.3735625484075,success
1,1,3,33710.73628371386,33783.75436922694,356.578587944009,success
1,1,4,33690.02798148128,33768.655951343404,441.7286586992855,success
1,1,5,33664.810920733755,33749.04778681429,343.9898210465783,success
1,1,6,33650.72172469551,33740.56649813273,362.30582761588636,success
2,0,0,33897.41604124404,33959.21680332068,554.2214645299211,success
2,0,1,33767.39763239586,33834.81664557038,549.4696309094187,success
2,0,2,33729.5813055785,33802.61218007441,495.5343678554489,success
2,0,3,33720.30664103817,33798.94839042897,543.9034604860246,success
2,0,4,33697.99849522462,33782.2501323551,483.6010248330378,success
2,0,5,33670.66287563539,33760.52341262068,499.4170324575785,success
2,0,6,33657.1760396681,33752.64448789271,507.67472522377506,success
2,1,0,33904.21369807888,33966.00905342157,666.2418219930157,success
