p,d,q,AIC,BIC,RMSE,status
0,0,0,54000.833119673276,54051.20065040985,2165.307342140968,success
0,0,1,39763.9218674456,39819.88076662279,2154.7371515633135,success
0,0,2,38783.98330341556,38845.53256348296,2159.23147270848,success
0,0,3,37982.11012303893,38049.24873568553,2152.2304118527227,success
0,0,4,38242.25048186343,38314.977438016605,2152.038492089129,success
0,0,5,37734.1603777709,37812.47466759537,2142.4631892411553,success
0,0,6,38089.72249963405,38173.62311253087,2149.118444344933,success
0,1,0,51017.025917190345,51067.388926449814,1613.3442089045402,success
0,1,1,37845.61204555227,37901.565918340806,1598.3881787965556,success
0,1,2,37829.58099670932,37891.12472496871,1599.1160359892947,success
0,1,3,37758.540276900545,37825.67285181117,1575.4038525584172,success
0,1,4,37642.508749007946,37715.229160987816,1543.4258753690785,success
0,1,5,37606.197400527104,37684.5046392308,1535.9236657124004,success
0,1,6,37561.54190548985,37645.43495980753,1527.3576611998085,success
1,0,0,37798.28312819806,37854.2470512387,2129.631243324191,success
1,0,1,37722.560081966985,37784.11487106189,2133.904703521687,success
1,0,2,37689.51741579005,37756.6620631363,2136.8144848077386,success
1,0,3,37672.47050886028,37745.20400589409,2135.868633266606,success
1,0,4,37629.485645838664,37707.80698323439,2111.617281963216,success
1,0,5,37605.41124337294,37689.319411042015,2074.987625914406,success
1,0,6,37570.655487209704,37660.149474299644,1986.341347428546,success
1,1,0,37865.21032333251,37921.1692225097,1598.072425426115,success
1,1,1,37847.598573349795,37909.14783341719,1598.5552817104924,success
1,1,2,37664.4863055443,37731.62491819089,1736.848289241292,success
1,1,3,37614.10995800011,37686.83691415328,1537.0806002524769,success
1,1,4,37594.244120666044,37672.558410490514,1524.3925175298386,success
1,1,5,37576.596797958184,37660.497410855,1538.925780381702,success
1,1,6,37558.55427515705,37648.04019976257,1523.1354478546464,success
2,0,0,37714.95700929462,37776.511798389525,2135.5463764873175,success
2,0,1,37716.184680516584,37783.33535952921,2135.2012771695004,success
2,0,2,37691.22748389552,37763.96751852062,2133.870701495842,success
2,0,3,37634.372484534586,37712.700865955616,1965.085673456201,success
2,0,4,37606.77705799564,37690.69277663392,1932.6583466965183,success
2,0,5,37594.0495865447,37683.551632058385,1981.5561802154673,success
2,0,6,37570.554509299676,37665.64187058274,1932.0342329645105,success
2,1,0,37844.03990078201,37905.589160849406,1599.6324891291576,success
2,1,1,37667.340893900604,37734.48554124685,1539.244832160839,success
2,1,2,37643.04178878601,37715.77528581982,1522.5586677367037,success
2,1,3,37614.47101274632,37692.792350142045,1525.4297828885499,success
2,1,4,37575.63888674642,37659.547054415496,1528.864183869453,success
2,1,5,37560.05136837429,37649.54535546423,1527.7128761619488,success
2,1,6,37543.45979817053,37638.538593063895,1528.569749569419,success
3,0,0,37697.171612209655,37764.316259555904,2136.3523255164955,success
3,0,1,37696.872298775146,37769.61233340025,2131.9377468697908,success
3,0,2,37652.05314818426,37730.38857008822,2033.5709086092854,success
3,0,3,37627.832925236464,37711.75619104471,1939.0241727594023,success
3,0,4,37595.40629238214,37684.91639226297,1936.4288676967844,success
3,0,5,37595.4029589841,37690.498882342385,1967.238356229424,success
3,0,6,37573.56679124535,37674.247526721534,1938.1821058561482,success
3,1,0,37779.45209045053,37846.59070309713,1583.3722290586768,success
3,1,1,37650.91375938911,37723.64725642292,1706.8216018393439,success
3,1,2,37637.210394511174,37715.538775932204,1522.6986830566261,success
3,1,3,37615.679887781334,37699.595606419614,1531.8545635623852,success
3,1,4,37577.614376151396,37667.11642166508,1528.1825414245147,success
3,1,5,37562.33691661942,37657.42427790248,1541.1237094195583,success
3,1,6,37550.003167923445,37650.674833104655,1531.1984645398447,success
4,0,0,37665.802694985934,37738.53619201975,2134.286972984483,success
4,0,1,37628.1006302863,37706.42901170733,1988.502927154066,success
4,0,2,37640.10468994192,37724.02795575017,1929.0815172647888,success
4,0,3,37646.539777910424,37736.05792810589,2010.8069586549598,success
4,0,4,37609.8639843687,37704.96846549208,1946.5417926903222,success
4,0,5,37597.37188471962,37698.06168592251,1968.8641003567234,success
4,0,6,37574.82550649,37681.09961615931,1926.8876160764464,success
4,1,0,37726.314894676056,37799.04185082923,1589.5570981424855,success
4,1,1,37618.13803052533,37696.45936792106,1526.633142183439,success
4,1,2,37609.22370487207,37693.13942351035,1522.6829073851939,success
4,1,3,37595.007345669204,37684.51744555003,1535.0442623990716,success
4,1,4,37574.503346639554,37669.59926999784,1520.8480082215717,success
