p,d,q,AIC,BIC,RMSE,status
0,0,0,58393.58663277719,58443.954163513765,5374.435761125899,success
0,0,1,44099.257683486634,44155.21658266382,5361.942835221678,success
0,0,2,42929.913361328465,42991.46262139586,5405.74046028164,success
0,0,3,43201.68610460371,43268.8247172503,5360.896710455795,success
0,0,4,43059.98250583242,43132.70946198559,5326.834404067711,success
0,0,5,42898.38068447513,42976.6949742996,5388.312919897053,success
0,0,6,42777.00427232016,42860.90488521698,5363.39829077043,success
0,1,0,55684.432251682476,55734.795260941944,5579.36917288209,success
0,1,1,42515.0583113809,42571.012184169434,5608.392825919912,success
0,1,2,42489.68659444789,42551.23032270728,5690.046852727083,success
0,1,3,42282.996769059464,42350.12934397009,5264.92741156806,success
0,1,4,42260.62088498684,42333.34129696671,5216.96407216991,success
0,1,5,42241.61788624975,42319.92512495344,5231.822708492887,success
0,1,6,42212.438482313,42296.33153663068,5093.0439550442015,success
1,0,0,42450.57025553998,42506.534178580616,5272.396610120865,success
1,0,1,42428.46570320291,42490.020492297816,5268.419111968588,success
1,0,2,42402.02068102458,42469.16532837083,5284.937067784533,success
1,0,3,42262.67158402792,42335.405081061734,5250.275996374596,success
1,0,4,42244.27081524657,42322.5921526423,5247.297231020688,success
1,0,5,42218.18201368573,42302.090181354804,5264.573618950812,success
1,0,6,42199.019595733815,42288.513582823754,5265.213404392352,success
1,1,0,42536.488360616946,42592.447259794135,5593.172568129644,success
1,1,1,42482.164732893696,42543.71399296109,5744.589596917636,success
1,1,2,42379.84548784855,42446.984100495145,4975.780568500801,success
1,1,3,42280.7173332076,42353.44428936077,5198.567513556271,success
1,1,4,42273.896556571446,42352.210846395916,5274.77002749752,success
1,1,5,42242.69674869528,42326.597361592096,5238.519722262277,success
1,1,6,42171.69992853266,42261.18585313818,8577.696228844206,success
2,0,0,42428.00646062482,42489.56124971972,5268.278639702622,success
2,0,1,42659.63655842423,42726.78723743685,5260.87469630007,success
2,0,2,42362.016900745,42434.756935370104,5280.504022468798,success
2,0,3,42264.512921468966,42342.841302889996,5247.985911103703,success
2,0,4,42246.43881927665,42330.35453791493,5249.762686949006,success
