p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,95024.69129199562,51715.03046180034,51763.98771481716,17,17
0,0,1,94695.60371103797,39597.81741080462,39652.2084656772,17,17
0,0,2,94391.59524633958,39282.900557227396,39342.72423152718,17,17
0,0,3,94098.41956465028,39134.70516146853,39199.96027171365,17,17
0,0,4,93814.8043307067,39072.40381127602,39143.08917292962,17,17
0,0,5,93481.03679507299,39018.07140268119,39094.18583014977,17,17
0,0,6,94385.81433960065,38973.203046417075,39054.74535304876,17,17
0,1,0,47813.57571195903,48112.08174824945,48161.03369763477,17,17
0,1,1,47304.28455663991,36588.53119332471,36642.916351779044,17,17
0,1,2,55650.20512576188,36540.19512552472,36600.01230991608,17,17
0,1,3,54831.268566041195,36493.57094621596,36558.818972357745,17,17
0,1,4,53332.98071220639,36442.644273025006,36513.3219556744,17,17
0,1,5,47894.91050930031,36421.70504552413,36497.811198380376,17,17
0,1,6,50734.02267864752,36395.44827939727,36476.981715099966,17,17
1,0,0,84937.12260071152,37094.661498144145,37149.05844594061,17,17
1,0,1,76530.08889896543,36587.42251799373,36647.25267835356,17,17
1,0,2,69270.66531883481,36493.78079365914,36559.04298380435,17,17
1,0,3,68147.62100536187,36458.861874550195,36529.55491064908,17,17
1,0,4,68179.44585340588,36404.520783582964,36480.643480748375,17,17
1,0,5,68338.06745141858,36382.367402249416,36463.91857453717,17,17
1,0,6,67666.38031077723,36366.168697968365,36453.147158375505,17,17
1,1,0,47526.391630773476,36835.70879548887,36890.09985036144,17,17
1,1,1,49498.97471804751,36539.81399093003,36599.637665229806,17,17
1,1,2,49437.93780125033,36495.018606837126,36560.273717082244,17,17
1,1,3,49354.14609444854,36464.91141230938,36535.59677396299,17,17
1,1,4,50094.22165269603,36438.847644155874,36514.96207162444,17,17
1,1,5,50092.02238549697,36418.78007104826,36500.32237767994,17,17
1,1,6,49272.63990717447,36396.59565219567,36483.56465027855,17,17
2,0,0,80267.06821141431,36802.02246179515,36861.85262215499,17,17
2,0,1,76462.05145435732,36684.11142502963,36749.38069087672,17,17
2,0,2,67392.45585463743,36471.382440084184,36542.08314607482,17,17
2,0,3,67296.13762908676,36444.00026934528,36520.13123129791,17,17
2,0,4,67750.71755108783,36407.80777576675,36489.36780844399,17,17
2,0,5,68282.80913937536,36381.72690589339,36468.71482300034,17,17
2,0,6,67570.18163420903,36362.974863110656,36455.38947729324,17,17
2,1,0,50459.13661705553,36737.36041773963,36797.18409203941,17,17
2,1,1,51005.36275903665,36518.84424294999,36584.106433095214,17,17
2,1,2,59309.15948164328,36487.767548794065,36558.460584892935,17,17
2,1,3,48726.63894097141,36551.11018097035,36627.23287813577,17,17
2,1,4,55981.56390897014,36435.13045077133,36516.681623059085,17,17
2,1,5,49913.284277991195,36399.84409626838,36486.822556675506,17,17
2,1,6,49386.14522917277,36378.49175606264,36470.89631652571,17,17
3,0,0,77439.03376651565,36687.29643109119,36752.55862123641,17,17
3,0,1,75033.15406020323,36515.42786598661,36586.12857197724,17,17
3,0,2,70186.64867942009,36499.55134509154,36575.69056692762,17,17
3,0,3,67907.76315303838,36632.32632525558,36713.89521306197,17,17
3,0,4,68468.58562578824,36404.01838171549,36491.015749904545,17,17
3,0,5,67770.63305300301,36383.461074595485,36475.88573652162,17,17
3,0,6,67656.59764299149,36358.81962431299,36456.670392271015,17,17
3,1,0,54219.52112727877,36631.74061152818,36696.9957217733,17,17
3,1,1,51457.22214913928,36493.6232222886,36564.31625838747,17,17
3,1,2,49765.07170076203,36503.12132902845,36579.25229098109,17,17
3,1,3,57921.4836397657,36463.41926005919,36544.97929273643,17,17
3,1,4,56248.26945460186,36426.34338851318,36513.33130562013,17,17
3,1,5,57213.13712539777,36398.69872457344,36491.113338756026,17,17
3,1,6,58459.4591916676,36370.40611168097,36468.24623452421,17,17
4,0,0,76211.2298031547,36589.76777608786,36660.46081218674,17,17
4,0,1,75129.68113880118,36504.89163105151,36581.022593004156,17,17
4,0,2,68692.56800566484,36464.76022270034,36546.329110506726,17,17
4,0,3,68150.35458670874,36485.19913312802,36572.20594678817,17,17
4,0,4,68161.38113479519,36409.04390732717,36501.47861102804,17,17
4,0,5,67784.63303550158,36388.06190000309,36485.92330674841,17,17
4,0,6,67760.37952007439,36356.19760858196,36459.484530315436,17,17
4,1,0,61823.78810971185,36559.74668111303,36630.43204276664,17,17
4,1,1,53370.480544210244,36467.260249888845,36543.38294705427,17,17
4,1,2,57081.13820870835,36481.69677274881,36563.25680542604,17,17
4,1,3,52928.55664754607,36493.65820012523,36580.65556831429,17,17
4,1,4,57036.038476197326,36420.00037275156,36512.42503467768,17,17
4,1,5,56100.62214913937,36395.95744706472,36493.80821502275,17,17
4,1,6,56601.30046360278,36385.27383086452,36488.54951608794,17,17
5,0,0,79194.02145528456,36502.583075823124,36578.70577298856,17,17
5,0,1,73490.77730428924,36432.64317387271,36514.203206549944,17,17
5,0,2,68871.44420224175,36412.55401717747,36499.551385366525,17,17
5,0,3,67693.63970449292,36422.383539709874,36514.81824341073,17,17
5,0,4,68092.3229616703,36409.25992968504,36507.131968897724,17,17
5,0,5,68076.53657543832,36647.479819869004,36750.777971433505,17,17
5,0,6,67912.78660705309,36373.160431300625,36481.883506809536,17,17
5,1,0,59599.7087546333,36530.391952060716,36606.5063795293,17,17
5,1,1,52288.63652045542,36447.710442304604,36529.26161459237,17,17
5,1,2,51739.71145502748,36440.561456263706,36527.549373370646,17,17
5,1,3,54724.244160592476,36608.40592920728,36700.83059113341,17,17
5,1,4,54368.7067124615,36454.56462355464,36552.42603029995,17,17
5,1,5,58020.844546608576,36402.98802895936,36506.27495069283,17,17
5,1,6,55868.97750158113,36386.704448701916,36495.41569630553,17,17
6,0,0,78522.37481020439,36472.00197550055,36553.55314778831,17,17
6,0,1,73159.90037822165,36410.64441059494,36497.6323277019,17,17
6,0,2,68146.25833196579,36380.57354430558,36472.998206231714,17,17
6,0,3,3.521279930612104e+37,38942.32420121119,39040.18560795651,17,17
6,0,4,67832.7861877881,36468.14661569693,36571.44476726143,17,17
6,0,5,68642.24389774314,36381.1995983997,36489.934494783374,17,17
6,0,6,68178.321719159,36371.28491823509,36485.444147519454,17,17
6,1,0,58839.735661264946,36496.59470242328,36578.13700905497,17,17
6,1,1,51572.68516822541,36419.658023714794,36506.63648412192,17,17
6,1,2,50934.348451215286,36404.298627415286,36496.71324159786,17,17
6,1,3,733419.6746222065,36458.66555549808,36556.51632345611,17,17
6,1,4,107760.94810228229,36423.597825282115,36526.88474701558,17,17
6,1,5,59007.14237968696,36414.15759572015,36522.88067122906,17,17
6,1,6,55258.41124965042,36388.958495194005,36503.10530517779,17,17
7,0,0,94512.10503600478,36438.30672804553,36525.28518845266,17,17
7,0,1,67587.55679839608,36359.12693118426,36451.54154536685,17,17
7,0,2,69313.42055729218,36360.44874340649,36458.29951136451,17,17
7,0,3,1532972518.6988761,37394.68698443839,37497.97390617186,17,17
7,0,4,68118.04434258239,36360.016975011924,36468.74005052083,17,17
7,0,5,68936.52573759118,36367.63327301544,36481.79250229982,17,17
7,0,6,67894.6359901725,36374.39987479069,36493.99525785049,17,17
7,1,0,55715.974733941024,36449.49664900553,36536.46564708842,17,17
7,1,1,53670.34232328956,36377.45685131154,36469.861411774604,17,17
7,1,2,51797.135472478905,36371.13595287039,36468.97607571364,17,17
7,1,3,65248.97330304672,36387.9495033375,36491.225188560915,17,17
7,1,4,56480.58559617706,36424.71753782169,36533.428785425305,17,17
7,1,5,54474.44049771883,36391.84723632106,36505.99404630485,17,17
7,1,6,55478.38394780598,36358.210260645996,36477.792633009965,17,17
8,0,0,127271.97868970281,36391.39255576204,36483.79711622511,17,17
8,0,1,67498.22307797498,36319.2030416271,36417.04316447035,17,17
8,0,2,69118.5877737842,36322.348002417646,36425.62368764106,17,17
8,0,3,69323.99569609159,36835.58817513602,36944.29942273963,17,17
8,0,4,1.3251305265570092e+28,38243.97030893553,38358.11711891932,17,17
8,0,5,69485.10153286169,36379.31254063106,36498.89491299503,17,17
8,0,6,68276.10557482783,36346.832708119684,36471.850642863836,17,17
8,1,0,54713.61174578035,36406.25505204371,36498.649552804156,17,17
8,1,1,53529.06642379636,36356.28218489669,36454.11165629011,17,17
8,1,2,52480.764177128134,36357.47894054462,36460.743382571,17,17
