p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,3387.622823345969,29198.99086649773,29248.07877765036,19,19
0,0,1,3374.295275290961,27739.794196314964,27794.330508333987,19,19
0,0,2,3364.8376285210966,27157.68270660046,27217.666253446318,19,19
0,0,3,3360.0203646357163,27005.359049494255,27070.788664101805,19,19
0,0,4,3349.561955255249,26798.16510312924,26869.039617406146,19,19
0,0,5,3340.2054021447507,26644.864751569687,26721.182996394804,19,19
0,0,6,3334.1107438087283,26564.552357520133,26646.313162741902,19,19
0,1,0,1882.1168125905854,26715.57427657995,26764.656957397074,19,19
0,1,1,1886.6942525054815,26416.839442159526,26471.36993929212,19,19
0,1,2,1883.3185294540308,26270.199543717245,26330.17669044083,19,19
0,1,3,2018.7499372260265,26224.42872967943,26289.851358242726,19,19
0,1,4,2100.0064443283577,26205.39712169816,26276.264063321487,19,19
0,1,5,2155.8703163277505,26169.838887810467,26246.148972684117,19,19
0,1,6,2164.425217711482,26146.637478059787,26228.389535342394,19,19
1,0,0,3207.5462924548665,26634.4472284126,26688.989351915516,19,19
1,0,1,2937.7912349846615,26321.073819159126,26381.06376238005,19,19
1,0,2,2840.364363359343,26201.28635493697,26266.722951496075,19,19
1,0,3,2737.1107898513796,26169.29989053817,26240.181973029674,19,19
1,0,4,2764.9011311131976,26155.453104415228,26231.779504405742,19,19
1,0,5,2669.1448182579006,26134.992018179106,26216.761566206023,19,19
1,0,6,2657.965694951214,26113.789512326544,26201.001037896425,19,19
1,1,0,1884.2005813164803,26606.87426116101,26661.410573180037,19,19
1,1,1,1884.7081621941536,26303.063470315723,26363.04701716158,19,19
1,1,2,2111.6042366180195,26212.147529455848,26277.57714406339,19,19
1,1,3,2167.293618038398,26198.176100042634,26269.050614319538,19,19
1,1,4,2099.887647678946,26183.70229318891,26260.020538014036,19,19
1,1,5,2173.8751046167404,26160.74005270776,26242.500857929535,19,19
1,1,6,2177.7970540931806,26145.480999836396,26232.68319427118,19,19
2,0,0,3217.434457239531,26496.765810605077,26556.755753826008,19,19
2,0,1,2842.974879872487,26225.119857148744,26290.563431571572,19,19
2,0,2,2648.770127155892,26187.480122119217,26258.369768391593,19,19
2,0,3,2758.264085091351,26169.21309221894,26245.547642594407,19,19
2,0,4,2760.38970247216,26156.855596701695,26238.633882405815,19,19
2,0,5,2650.5107933350505,26131.388000069903,26218.608851298613,19,19
2,0,6,2704.0000195920516,26127.3965817135,26220.0588276315,19,19
2,1,0,1880.2080384443755,26411.062756170537,26471.046303016392,19,19
2,1,1,1876.898589691559,26275.094497023634,26340.531093582755,19,19
2,1,2,2163.5627774840523,26212.70274110976,26283.584823601264,19,19
2,1,3,2174.383758995175,26198.57871859919,26274.905118589693,19,19
2,1,4,2106.9635032269866,26134.858399768276,26216.627947795194,19,19
2,1,5,2078.384857435272,26110.617483985694,26197.829009555582,19,19
2,1,6,2088.451504108752,26093.83063486288,26186.482966449832,19,19
3,0,0,3043.690143441206,26325.634817154332,26391.07141371345,19,19
3,0,1,2826.656802819696,26196.839503124902,26267.729149397277,19,19
3,0,2,2823.7475574705527,26189.085508338594,26265.428204324224,19,19
3,0,3,2723.164409670078,26174.002143267775,26255.78916152721,19,19
3,0,4,2655.424374491936,26101.22888596294,26188.459057380667,19,19
3,0,5,2674.858165619811,26091.890666387044,26184.562820817548,19,19
3,0,6,2673.357153985129,26083.29805876069,26181.411025026806,19,19
3,1,0,1883.0159294513057,26340.45504785023,26405.88466245777,19,19
3,1,1,1876.9566599050652,26256.879816557874,26327.761899049383,19,19
3,1,2,2045.7516302689094,26214.31167697549,26290.646227350964,19,19
3,1,3,2067.648324473038,26135.23787401256,26217.01615971668,19,19
3,1,4,2148.7756066632687,26163.99880187103,26251.219653099735,19,19
3,1,5,2143.03644602936,26107.97191478173,26200.634160699734,19,19
3,1,6,2135.1943777440188,26097.938971708292,26196.04144044743,19,19
4,0,0,3027.723784177,26245.647533943105,26316.529616434615,19,19
4,0,1,2828.250116895021,26174.52835863997,26250.862909015443,19,19
4,0,2,2804.083402371753,26175.9605901721,26257.74760843153,19,19
4,0,3,2676.6637916815116,26155.092501782543,26242.331987925932,19,19
4,0,4,2685.308676245398,26142.473907162683,26235.15596429402,19,19
4,0,5,2706.4230984358046,26080.672616895332,26178.796074527632,19,19
4,0,6,2736.183010578328,26082.748889170718,26186.31257578496,19,19
4,1,0,1890.5908116735354,26302.396130724934,26373.270645001834,19,19
4,1,1,2038.4758910357307,26190.974793942973,26267.301193933483,19,19
4,1,2,2218.7436165659037,26197.859116535015,26279.637402239136,19,19
4,1,3,2178.7020977776124,26137.300952731475,26224.531124149205,19,19
4,1,4,2117.901977240063,26137.695593942724,26230.367748373228,19,19
4,1,5,2153.228054943583,26117.860058813694,26215.973025079813,19,19
4,1,6,2084.048969452852,26095.3998197211,26198.9524256124,19,19
5,0,0,2958.9261709726143,26216.317219418615,26292.643619409122,19,19
5,0,1,2711.914660883869,26152.525138857818,26234.30342456194,19,19
5,0,2,2713.470701541863,26153.554852198977,26240.785023616703,19,19
5,0,3,2785.763903144867,26166.929886830363,26259.611943961703,19,19
5,0,4,2706.2318769757767,26093.614137002838,26191.748079847785,19,19
5,0,5,2741.232666493025,26141.281156787896,26244.855917621997,19,19
5,0,6,2720.2023570620768,26115.569310705043,26224.5837176674,19,19
5,1,0,1898.3266227725478,26277.879518610327,26354.197763435448,19,19
