p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,14530.425260248892,44976.588168485105,45025.54542150192,17,17
0,0,1,14451.282223184022,32894.77705364459,32949.16810851716,17,17
0,0,2,14397.842386502689,32266.96867910042,32326.7923534002,17,17
0,0,3,14327.823470861367,31982.345633666762,32047.60074391188,17,17
0,0,4,14271.216683792942,31816.265044542728,31886.950406196334,17,17
0,0,5,13725.683716349411,31743.742816033053,31819.857243501636,17,17
0,0,6,14099.786636317102,31616.30102715792,31697.843333789606,17,17
0,1,0,7749.431236895296,35896.321862238525,35945.273811623854,17,17
0,1,1,7435.529245364854,31424.053045023775,31478.438203478123,17,17
0,1,2,7370.324451054629,31327.492606108986,31387.309790500338,17,17
0,1,3,8499.49183113688,31277.91217867579,31343.16020481758,17,17
0,1,4,8115.27715255751,31222.324899005587,31293.00258165498,17,17
0,1,5,8032.783294443223,31202.257768536663,31278.36392139291,17,17
0,1,6,7836.644009402856,31175.178853516172,31256.712289218875,17,17
1,0,0,13500.79893448435,31572.236981493817,31626.63392929029,17,17
1,0,1,12320.704261861454,31411.897925088793,31471.728085448623,17,17
1,0,2,11272.566802088153,31303.736175934257,31368.998366079464,17,17
1,0,3,11138.05345359842,31272.064815643716,31342.75785174259,17,17
1,0,4,10222.914246023805,31235.909931614933,31312.032628780355,17,17
1,0,5,10351.069811474337,31221.863169321365,31303.414341609132,17,17
1,0,6,10374.6643081579,31195.05842972099,31282.03689012813,17,17
1,1,0,7558.715608091982,31525.836015378503,31580.227070251083,17,17
1,1,1,7327.015503107456,31330.64820542207,31390.471879721845,17,17
1,1,2,7058.770143136397,31256.932649915783,31322.18776016091,17,17
1,1,3,7352.917661241725,31227.791908167037,31298.477269820643,17,17
1,1,4,7711.14119948738,31208.036693663733,31284.15112113231,17,17
1,1,5,7758.086279340934,31192.615005863496,31274.157312495183,17,17
1,1,6,8017.091692766185,31173.48975664048,31260.458754723364,17,17
2,0,0,13285.970164652634,31468.00607100649,31527.83623136632,17,17
2,0,1,11445.93626522611,31325.671750698206,31390.941016545294,17,17
2,0,2,10410.278896038,31273.41006828835,31344.110774279005,17,17
2,0,3,10335.35209861572,31251.128107033,31327.259068985633,17,17
2,0,4,10361.999121052197,31230.809670134673,31312.369702811906,17,17
2,0,5,10385.738084550292,31210.032067266326,31297.01998437327,17,17
2,0,6,10426.378692637632,31203.27586102057,31295.690475203144,17,17
2,1,0,7693.545667903062,31457.43834777233,31517.262022072107,17,17
2,1,1,6940.335489756333,31272.963512411807,31338.22570255702,17,17
2,1,2,9240.287751604345,31247.563011301634,31318.256047400508,17,17
2,1,3,8587.2556968938,31225.256078374216,31301.37877553963,17,17
2,1,4,7511.8386405227975,31127.047567131434,31208.5987394192,17,17
2,1,5,7587.050336821303,31188.64426870957,31275.6227291167,17,17
2,1,6,7751.089040366221,31105.81946350689,31198.224023969953,17,17
3,0,0,12893.200051023976,31410.647165758488,31475.909355903703,17,17
3,0,1,11293.240452439388,31290.10782521933,31360.808531209976,17,17
3,0,2,10558.939926145136,31271.426435510435,31347.565657346524,17,17
3,0,3,10495.847141463018,31250.65320864491,31332.222096451304,17,17
3,0,4,10493.368675894872,31223.70873438993,31310.706102578984,17,17
3,0,5,10440.062116019115,31211.08446959757,31303.509131523697,17,17
3,0,6,10661.428765070319,31195.547505338196,31293.39827329622,17,17
