p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,41413.4026259761,48551.79547401983,48600.752727036655,17,17
0,0,1,41267.011682662436,36601.941077631025,36656.332132503594,17,17
0,0,2,41165.66812419257,36153.36174664223,36213.18542094201,17,17
0,0,3,41071.29852406074,36192.84051276802,36258.09562301315,17,17
0,0,4,40951.45588197592,35861.193779874025,35931.87914152763,17,17
0,0,5,40812.3020749208,36046.6771652988,36122.79159276738,17,17
0,0,6,40302.6724717129,35710.041587420565,35791.58389405225,17,17
0,1,0,27531.30781347843,46432.17128814597,46481.12323753128,17,17
0,1,1,26753.44649399222,35054.11904518906,35108.50420364341,17,17
0,1,2,27100.717145556704,34953.51592077635,35013.3331051677,17,17
0,1,3,28228.887079424847,34872.39521023836,34937.64323638016,17,17
0,1,4,28209.277827842365,34852.65500429003,34923.33268693942,17,17
0,1,5,28660.631295792773,34808.310104297205,34884.41625715344,17,17
0,1,6,28712.03404432192,34774.841707639986,34856.37514334269,17,17
1,0,0,39518.62594087965,35352.3864999734,35406.78344776986,17,17
1,0,1,35293.60907786951,35056.59906940785,35116.42922976769,17,17
1,0,2,34262.034043606014,34929.49309689259,34994.75528703779,17,17
1,0,3,32360.885475956773,34882.39348098711,34953.08651708599,17,17
1,0,4,32313.14544907192,34843.56488677199,34919.687583937404,17,17
1,0,5,33697.87695501283,34798.62874655742,34880.179918845184,17,17
1,0,6,33127.90516054662,34786.28518147741,34873.263641884536,17,17
1,1,0,27535.50193608722,35336.868564527045,35391.259619399614,17,17
1,1,1,27614.607886502607,34988.6620009681,35048.48567526788,17,17
1,1,2,26847.439744302388,34917.708997656446,34982.96410790157,17,17
1,1,3,28345.19657298822,34856.137192088165,34926.82255374176,17,17
1,1,4,28324.364617362146,34822.78818299361,34898.902610462195,17,17
1,1,5,28555.766206201763,34799.77878945737,34881.32109608905,17,17
1,1,6,31682.278129867744,34778.55827852704,34865.527276609915,17,17
2,0,0,38910.66958459969,35270.63205436507,35330.46221472491,17,17
2,0,1,34557.21004991471,34983.16855346409,35048.43781931119,17,17
2,0,2,32267.2747328097,34915.445720883894,34986.14642687454,17,17
2,0,3,32202.276131276027,34874.38294785649,34950.513909809124,17,17
2,0,4,32462.368148515543,34819.21043939441,34900.77047207165,17,17
2,0,5,33302.28721031263,34792.72982519221,34879.717742299166,17,17
2,0,6,32661.70259095199,34778.92249445015,34871.337108632724,17,17
2,1,0,27362.15831448965,35237.23632499913,35297.05999929891,17,17
2,1,1,29852.200197594935,34969.84791643778,35035.11010658299,17,17
2,1,2,26226.62099478571,34880.97291287123,34951.665948970105,17,17
2,1,3,30669.26340111917,34842.49784744276,34918.62054460818,17,17
2,1,4,28569.90458419984,34815.866173295115,34897.41734558288,17,17
2,1,5,29949.405646217205,34786.24043921936,34873.21889962649,17,17
2,1,6,31669.94625923667,34769.91464370362,34862.31920416669,17,17
3,0,0,38105.605522424485,35186.834273676184,35252.09646382139,17,17
3,0,1,34875.77249671364,34933.6777703922,35004.378476382844,17,17
3,0,2,32918.134943787765,34921.74162554568,34997.880847381755,17,17
3,0,3,33113.08155430891,34886.66548265706,34968.234370463455,17,17
3,0,4,33390.198224419495,34816.62480981782,34903.62217800687,17,17
3,0,5,32726.14738039601,34784.43502301845,34876.85968494456,17,17
3,0,6,33201.31850068835,34777.02176522217,34874.87253318019,17,17
3,1,0,30462.73455892427,35077.99439388672,35143.24950413184,17,17
3,1,1,30401.906186016527,34890.279059450724,34960.97209554959,17,17
3,1,2,30279.087841408855,34885.79599040523,34961.92695235787,17,17
3,1,3,30995.13617940966,34848.12270899237,34929.68274166961,17,17
3,1,4,31187.821750339346,34811.018892016305,34898.00680912325,17,17
3,1,5,30709.326065784247,34757.6948342051,34850.10944838768,17,17
3,1,6,29560.807544081086,34754.54386350169,34852.38398634495,17,17
4,0,0,36465.80835108777,35053.547447769815,35124.24048386869,17,17
4,0,1,33478.32175475495,34860.119040949474,34936.25000290211,17,17
4,0,2,33756.88426229026,34846.73771461275,34928.306602419136,17,17
4,0,3,33171.62310095927,34836.164536734745,34923.17135039489,17,17
4,0,4,33000.65177919801,34814.61491971857,34907.04962341944,17,17
4,0,5,33197.0265704924,34787.70291398478,34885.5643207301,17,17
4,0,6,33217.52625260273,34768.92383647066,34872.21075820413,17,17
4,1,0,30737.79114135422,35007.24001580905,35077.92537746266,17,17
4,1,1,29209.55418969416,34870.14849237538,34946.27118954081,17,17
4,1,2,30409.630166238992,34864.485130100446,34946.045162777686,17,17
4,1,3,23203.85271593798,34857.85132741285,34944.84869560191,17,17
4,1,4,28115.29156017453,34779.97013585771,34872.39479778385,17,17
4,1,5,27352.626904053534,34751.31870306253,34849.16947102055,17,17
4,1,6,29073.751074105898,34746.30206689852,34849.57775212195,17,17
5,0,0,35722.50483714092,34980.72851117973,35056.85120834514,17,17
5,0,1,33644.01461990268,34833.14587151946,34914.7059041967,17,17
5,0,2,33784.67115606822,34833.186219321826,34920.18358751087,17,17
5,0,3,33051.48051099244,34883.177722576154,34975.61242627703,17,17
5,0,4,33603.65134926807,34842.16883076621,34940.0408699789,17,17
5,0,5,33892.99551325605,34782.32362191119,34885.6217734757,17,17
5,0,6,33997.11316355914,34760.934488893574,34869.65756440249,17,17
5,1,0,30787.607480330073,34977.10705108962,35053.221478558204,17,17
5,1,1,29050.688787962146,34844.05007551724,34925.601247804996,17,17
5,1,2,31645.52492446672,34839.639442542466,34926.627359649414,17,17
5,1,3,28615.161570278393,34840.23826613094,34932.66292805707,17,17
5,1,4,28409.395358955684,34798.39952946305,34896.26093620837,17,17
5,1,5,31831.504452171997,34768.98836053662,34872.2752822701,17,17
5,1,6,32425.742592459457,34749.67415084932,34858.38539845293,17,17
6,0,0,36060.590194589124,34949.683203376204,35031.234375663975,17,17
6,0,1,33703.286453223765,34813.13957248171,34900.12748958865,17,17
6,0,2,33765.1407405372,34811.61463829786,34904.039300223994,17,17
6,0,3,1.1206344045347025e+42,35825.69619595126,35923.55760269659,17,17
6,0,4,38916.41773661535,34989.86962177196,35093.16777333646,17,17
6,0,5,34310.050388390955,34778.433038640826,34887.16793502451,17,17
6,0,6,34166.14692854964,34766.23827107805,34880.39750036242,17,17
6,1,0,30310.370723490545,34920.56807581866,35002.110382450344,17,17
6,1,1,31273.835227512274,34789.503409157216,34876.48186956435,17,17
6,1,2,30549.59480070145,34795.887934109494,34888.30254829207,17,17
6,1,3,1014592381.4145362,34999.0799811753,35096.930749133324,17,17
6,1,4,29642.965581660836,34778.679638501846,34881.96656023531,17,17
6,1,5,30582.28203938352,34747.32815968543,34856.05123519435,17,17
6,1,6,29769.675305481534,34689.597957571445,34803.74476755524,17,17
7,0,0,35815.74423899577,34889.43470227899,34976.413162686105,17,17
7,0,1,33915.78809097787,34771.13393193798,34863.54854612056,17,17
7,0,2,33773.350140042065,34773.04733292052,34870.898100878534,17,17
7,0,3,32579.6548072431,34989.54952226291,35092.83644399637,17,17
7,0,4,32493.685722917984,34800.84010546936,34909.56318097828,17,17
7,0,5,34080.190535087444,34756.123002332184,34870.28223161655,17,17
7,0,6,33447.996304973356,34739.906205530664,34859.50158859047,17,17
7,1,0,29096.64927386906,34814.51075092803,34901.47974901091,17,17
7,1,1,29333.390363937564,34773.45845936127,34865.86301982432,17,17
7,1,2,32113.87845806111,34740.120899931986,34837.961022775235,17,17
7,1,3,9.560135939969848e+32,35907.32506431692,36010.60074954036,17,17
7,1,4,30783.25421321536,34749.66941930673,34858.38066691034,17,17
7,1,5,30853.540437440148,34694.02210617142,34808.168916155206,17,17
7,1,6,30838.07679014068,34665.39632574772,34784.97869811168,17,17
8,0,0,35265.49531185496,34783.00785713877,34875.41241760183,17,17
8,0,1,33844.43320101064,34771.36625608764,34869.20637893089,17,17
8,0,2,33588.06648302873,34723.96754115165,34827.24322637508,17,17
8,0,3,33486.029656791834,34706.78771511346,34815.498962717065,17,17
8,0,4,112422.86872284292,34926.38625601812,35040.533066001895,17,17
8,0,5,34237.73188807168,34701.376517982804,34820.95889034677,17,17
8,0,6,33083.226051647725,34670.137530897824,34795.155465641976,17,17
8,1,0,31614.23719251879,34792.61279724571,34885.00729800615,17,17
8,1,1,30939.934193101224,34736.53468176426,34834.364153157665,17,17
8,1,2,32783.42368321082,34706.60257664044,34809.867018666824,17,17
8,1,3,32740.537030705087,34702.36991724384,34811.06932990318,17,17
8,1,4,inf,55469.674426652244,55583.80880994455,17,17
8,1,5,29215.00707196783,34669.37423699305,34788.94359091833,17,17
8,1,6,28541.995130414114,34688.309540704686,34813.31386526294,17,17
