p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,2728.2688587712782,12897.734586126198,12963.05089092665,16,16
0,0,1,2717.4446338059597,12429.399564971605,12499.36196672569,16,16
0,0,2,2717.4611235929146,12277.949085272285,12352.554976213625,16,16
0,0,3,2713.606897883844,12212.20956781155,12291.456334973569,16,16
0,0,4,2686.0133435513853,12166.578136216032,12250.463161413078,16,16
0,0,5,2703.114502272005,12097.747401371245,12186.26806117961,16,16
0,0,6,2592.4864872886874,12070.204994466014,12163.35866020487,16,16
0,1,0,3710.217614038136,12170.59452220111,12235.892763838256,16,16
0,1,1,3679.008374540884,11912.287812134513,11982.23083489202,16,16
0,1,2,3616.495026637527,11877.26114622198,11951.846338845058,16,16
0,1,3,3671.5142525197557,11852.550202928816,11931.774948948248,16,16
0,1,4,3700.383077373268,11832.071677248994,11915.93335496218,16,16
0,1,5,3698.0357463776077,11818.317774400562,11906.813756852478,16,16
0,1,6,3697.370551756039,11804.070718192423,11897.19837315645,16,16
1,0,0,2541.5811125652954,12175.297299177284,12245.279054320625,16,16
1,0,1,2480.252498265731,11997.239023945494,12071.865585816518,16,16
1,0,2,2259.029204155781,11984.059696300232,12063.328455425408,16,16
1,0,3,2317.824170344477,12011.602158056572,12095.510499757536,16,16
1,0,4,2469.587599234036,12004.08917967409,12092.63448404875,16,16
1,0,5,2701.1139495954185,12005.298784449635,12098.478426353176,16,16
1,0,6,2705.4322323314673,11982.252235361648,12080.063584387448,16,16
1,1,0,3679.3101292124193,12085.888370492019,12155.8507722461,16,16
1,1,1,3593.003156970864,11905.982066869945,11980.587957811285,16,16
1,1,2,3635.3940836958723,11875.500365756103,11954.747132918124,16,16
1,1,3,3783.165972323099,11844.442533157708,11928.327558354751,16,16
1,1,4,3793.754183810707,11829.094412501008,11917.61507230937,16,16
1,1,5,3769.2357736624376,11816.073501951218,11909.227167690076,16,16
1,1,6,3742.4524853317416,11803.623518351937,11901.407556064163,16,16
2,0,0,2603.0497630523855,12096.104892493993,12170.731454365014,16,16
2,0,1,2665.448916604227,12073.740089215837,12153.030811203796,16,16
2,0,2,2655.749677112615,12051.969885333094,12135.901512642102,16,16
2,0,3,2919.295502429281,12036.44475032118,12125.014666561085,16,16
2,0,4,2693.946565184605,12024.935598540083,12118.141182092357,16,16
2,0,5,2705.276482598888,12006.221245929017,12104.059869927736,16,16
2,0,6,2709.527316130248,11986.53009156193,12088.999123874672,16,16
2,1,0,3725.5073466583153,11977.848872481136,12052.454763422475,16,16
2,1,1,3600.618467359478,11878.356877252332,11957.625636377506,16,16
2,1,2,3747.65024911059,11859.928311096224,11943.836652797188,16,16
2,1,3,3775.8892702291623,11805.667118376077,11894.212422750736,16,16
2,1,4,3773.5581655518945,11782.581895166451,11875.761537069997,16,16
2,1,5,3572.297206670145,11768.939681745134,11866.751030770936,16,16
2,1,6,3718.488936549019,11755.840334383038,11858.280754843468,16,16
3,0,0,2620.0711995256625,12030.215994715767,12109.484753840943,16,16
3,0,1,2665.168649359142,12053.189355776449,12137.120983085457,16,16
3,0,2,2668.947781048275,12054.050250487875,12142.644745980717,16,16
3,0,3,2708.171779325011,12038.39271642128,12131.62420720013,16,16
3,0,4,2726.6791041138786,12025.504380540666,12123.370243270552,16,16
3,0,5,2705.30376903407,11967.895673063922,12070.393279157819,16,16
