p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,9300.849761076284,20124.662551215046,20189.9788560155,16,16
0,0,1,9274.583529169306,15140.327689360336,15210.290091114419,16,16
0,0,2,9329.524688955182,14841.117121599718,14915.72301254106,16,16
0,0,3,9173.71150750598,14744.119363264452,14823.366130426473,16,16
0,0,4,9145.590110958543,14696.563430306396,14780.448455503443,16,16
0,0,5,9224.071172221878,14640.559168400536,14729.079828208898,16,16
0,0,6,9208.331382503551,14614.317833935107,14707.471499673964,16,16
0,1,0,8959.92744685206,16395.62526327663,16460.923504913775,16,16
0,1,1,8839.000194428143,14603.60919292808,14673.552215685586,16,16
0,1,2,8326.027757654443,14545.754101788665,14620.339294411742,16,16
0,1,3,8007.751266916319,14507.187250655454,14586.411996674886,16,16
0,1,4,8032.73780758497,14487.780516424618,14571.642194137805,16,16
0,1,5,8047.369055056787,14471.085692396538,14559.581674848454,16,16
0,1,6,8073.980593001323,14451.914910454965,14545.042565418991,16,16
1,0,0,9533.859384956273,14690.242130825995,14760.223885969335,16,16
1,0,1,9098.91610000057,14652.670013937619,14727.296575808643,16,16
1,0,2,9144.51933363442,14602.000574931297,14681.269334056473,16,16
1,0,3,9152.926458488932,14579.365999652033,14663.274341352997,16,16
1,0,4,9155.204459392646,14552.79558216593,14641.340886540589,16,16
1,0,5,9164.826486925152,14535.325789582275,14628.505431485817,16,16
1,0,6,9132.969680863385,14512.175778484867,14609.987127510667,16,16
1,1,0,9038.551616767973,14654.020060143137,14723.98246189722,16,16
1,1,1,8127.07781225373,14548.148992250011,14622.754883191354,16,16
1,1,2,8141.436083500246,14527.611066009007,14606.857833171027,16,16
1,1,3,8081.060804455852,14505.89940272495,14589.784427921995,16,16
1,1,4,8024.8441782520895,14486.390564779576,14574.91122458794,16,16
1,1,5,8040.670454136547,14468.856561726507,14562.010227465362,16,16
1,1,6,8024.8343176976905,14453.273435976167,14551.057473688394,16,16
2,0,0,9129.929527177499,14655.488283825325,14730.11484569635,16,16
2,0,1,9177.529671896858,14645.179427820869,14724.470149808829,16,16
2,0,2,9007.221398158323,14595.67323734817,14679.60486465718,16,16
2,0,3,9102.187042028669,14569.08423618157,14657.654152421475,16,16
2,0,4,9117.402252086678,14549.953575411024,14643.159158963295,16,16
2,0,5,9116.944356068405,14532.750831004916,14630.589455003636,16,16
2,0,6,9158.187425026044,14529.710215474144,14632.179247786886,16,16
2,1,0,8962.529486451294,14611.440126996584,14686.046017937924,16,16
2,1,1,8436.39451381668,14564.12834753015,14643.397106655324,16,16
2,1,2,8145.430988950886,14526.90068170918,14610.809023410144,16,16
2,1,3,8092.093542576275,14507.655740674782,14596.20104504944,16,16
2,1,4,8077.158560653557,14486.739320874514,14579.918962778056,16,16
2,1,5,8146.133568604704,14471.01616357276,14568.82751259856,16,16
2,1,6,8095.211311006117,14446.567512889158,14549.007933349587,16,16
3,0,0,9090.744142789772,14619.020050173376,14698.28880929855,16,16
3,0,1,9121.35050180128,14602.392460479838,14686.324087788846,16,16
3,0,2,9116.470375942581,14596.454262369305,14685.048757862147,16,16
3,0,3,9118.127137400428,14571.40477255787,14664.636263336717,16,16
3,0,4,9143.75449649827,14548.943741761286,14646.809604491173,16,16
3,0,5,9113.013391918488,14534.678941484144,14637.176547578041,16,16
3,0,6,9185.383736210399,14519.423484160292,14626.550199759977,16,16
3,1,0,8616.847749898636,14566.339314673845,14645.586081835867,16,16
3,1,1,8065.540150645004,14525.512400389063,14609.420742090026,16,16
3,1,2,8082.644535652838,14526.149511609168,14614.719427849075,16,16
3,1,3,8178.643934538552,14502.741251098987,14595.94683465126,16,16
3,1,4,8115.434977615962,14487.086805767238,14584.925429765954,16,16
3,1,5,8285.324608896497,14469.021835640184,14571.490867952925,16,16
3,1,6,8334.064768214314,14443.751422247513,14550.848225456144,16,16
4,0,0,9087.419527741533,14590.564927240492,14674.473268941454,16,16
4,0,1,9071.161124914917,14569.944903722782,14658.514819962686,16,16
