p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,20967.994252365377,21633.146976117452,21698.463280917902,16,16
0,0,1,20929.22124311649,16862.309537827958,16932.271939582042,16,16
0,0,2,20888.517464929384,16739.6932860082,16814.299176949542,16,16
0,0,3,20909.48613261367,16716.823808722234,16796.070575884252,16,16
0,0,4,20924.540476850496,16692.680838657456,16776.565863854503,16,16
0,0,5,20899.88961927763,16655.91095554716,16744.431615355526,16,16
0,0,6,20878.923556834106,16633.99846655635,16727.15213229521,16,16
0,1,0,35788.05548136936,21400.371928338376,21465.67016997552,16,16
0,1,1,33594.50861165095,16658.708586711968,16728.651609469478,16,16
0,1,2,33454.72285443769,16615.63368126458,16690.218873887658,16,16
0,1,3,32416.381616689294,16590.372672356978,16669.597418376412,16,16
0,1,4,34892.64982697269,16538.90271820476,16622.764395917948,16,16
0,1,5,35911.516225047104,16508.96968285637,16597.465665308282,16,16
0,1,6,36251.63456651021,16488.33196726686,16581.459622230883,16,16
1,0,0,20967.713222818275,16749.15740520117,16819.139160344515,16,16
1,0,1,20751.54624280608,16642.4983537729,16717.124915643923,16,16
1,0,2,20738.291562759805,16573.61575565981,16652.88451478498,16,16
1,0,3,20898.831201558587,16536.553473716915,16620.461815417875,16,16
1,0,4,20926.20056408688,16515.876424428672,16604.421728803332,16,16
1,0,5,21014.07946491978,16479.874392491463,16573.054034395005,16,16
1,0,6,20710.243765971445,16475.136970034502,16572.948319060302,16,16
1,1,0,35282.441037649995,16785.57805153361,16855.540453287693,16,16
1,1,1,34036.26958928863,16643.345359173916,16717.951250115257,16,16
1,1,2,33869.68952934642,16610.55720176032,16689.803968922337,16,16
1,1,3,32953.134677492766,16576.78600152638,16660.671026723427,16,16
1,1,4,38153.76909873417,16531.459157650737,16619.9798174591,16,16
1,1,5,71961.93480200275,16505.648600341352,16598.80226608021,16,16
1,1,6,74257.60011868233,16484.712410065717,16582.496447777943,16,16
2,0,0,20978.498563010675,16712.828183327576,16787.454745198596,16,16
2,0,1,28656.717758016443,16826.51904469569,16905.809766683655,16,16
2,0,2,20739.038272736707,16581.275221227002,16665.206848536014,16,16
2,0,3,20949.68200028916,16608.486860904835,16697.056777144746,16,16
2,0,4,21011.238102754964,16509.61765921687,16602.823242769144,16,16
2,0,5,20945.564871673087,16470.74293393221,16568.58155793093,16,16
2,0,6,20912.86271797814,16461.103960326996,16563.57299263974,16,16
2,1,0,35359.11169759991,16725.97693720553,16800.58282814687,16,16
2,1,1,33843.11256484567,16643.758641030865,16723.02740015604,16,16
2,1,2,33189.37177024326,16597.338582557495,16681.24692425846,16,16
2,1,3,33364.57026241915,16548.049231389836,16636.594535764496,16,16
2,1,4,38947.77184215012,16519.858884806046,16613.038526709588,16,16
2,1,5,38610.627658561825,16502.843832127248,16600.65518115305,16,16
2,1,6,74841.25992933373,16467.479796648106,16569.920217108534,16,16
3,0,0,20938.177726908863,16662.049235376908,16741.317994502082,16,16
3,0,1,20730.095503980752,16580.128733275495,16664.060360584503,16,16
3,0,2,20711.70276719396,16568.04687904085,16656.641374533687,16,16
3,0,3,21036.656298483176,16556.816398850315,16650.04788962916,16,16
3,0,4,20864.263308586123,16495.543918580057,16593.409781309943,16,16
3,0,5,20879.49699421307,16471.050105057566,16573.547711151463,16,16
3,0,6,20911.61859375697,16451.98661519133,16559.113330791017,16,16
3,1,0,34719.22632525557,16646.23795191897,16725.484719080992,16,16
3,1,1,33434.96947016911,16586.952901840454,16670.861243541418,16,16
3,1,2,33415.76644643275,16583.042379091094,16671.612295330997,16,16
3,1,3,33959.748788197016,16549.815401784734,16643.020985337007,16,16
3,1,4,48199.320228308745,16520.609141098572,16618.44776509729,16,16
3,1,5,42691.56297780681,16499.797880887356,16602.266913200096,16,16
3,1,6,39629.326450977525,16469.582155704982,16576.678958913617,16,16
4,0,0,20901.553197173096,16611.89290938065,16695.80125108161,16,16
4,0,1,21098.886382042238,16537.96672845089,16626.536644690794,16,16
4,0,2,20866.518238412904,16547.83602345334,16641.067514232185,16,16
4,0,3,20954.942270956828,16524.771984231833,16622.665049549625,16,16
4,0,4,20891.72275054321,16522.27157881001,16624.79772071751,16,16
4,0,5,20852.546680603275,16471.296748874007,16578.45333706308,16,16
4,0,6,20900.837263866506,16450.544132888164,16562.32853177479,16,16
4,1,0,33963.49614545373,16592.53813376413,16676.423158961174,16,16
4,1,1,33505.44054542836,16561.42961791224,16649.9749222869,16,16
4,1,2,58775.302418574895,16580.6445210465,16673.850104598772,16,16
4,1,3,38928.054764132394,16546.835761016526,16644.701623746412,16,16
4,1,4,43744.338485830944,16516.223191221517,16618.720797315415,16,16
4,1,5,55898.60058942895,16500.71223990524,16607.83895550492,16,16
4,1,6,39741.86129752714,16469.58002368859,16581.333209645425,16,16
5,0,0,20894.003933901797,16569.048384231504,16657.593688606165,16,16
5,0,1,21087.1219491903,16510.65760640023,16603.8631899525,16,16
5,0,2,21059.085661446,16505.360902713055,16603.226765442938,16,16
5,0,3,20821.677345502205,16528.638447977763,16631.164589885266,16,16
5,0,4,20911.19597543209,16521.82093438702,16629.007355472135,16,16
5,0,5,20905.85696481124,16468.308827053523,16580.12439733777,16,16
5,0,6,20927.943121571363,16450.309407503773,16566.751489677346,16,16
5,1,0,33720.66057070052,16569.21193065418,16657.732590462547,16,16
5,1,1,33795.196373049694,16541.726078794934,16634.90572069848,16,16
5,1,2,65710.05400910879,16541.28749933019,16639.12612332891,16,16
5,1,3,60384.096723543356,16542.638096234215,16645.135702328113,16,16
5,1,4,34194.842434944105,16519.257930481028,16626.4145186701,16,16
5,1,5,48950.79668850831,16494.14832563561,16605.93272452224,16,16
5,1,6,40252.00434135467,16466.293291678638,16582.70286038367,16,16
6,0,0,20924.526349329823,16545.123334718082,16638.302976621628,16,16
6,0,1,20776.483857809017,16491.764884290384,16589.603508289103,16,16
6,0,2,21061.235883671532,16482.468312349818,16584.96591844371,16,16
6,0,3,21061.279198648124,16540.21039552179,16647.36698371086,16,16
6,0,4,20869.490454880088,16500.373711110784,16612.189281395033,16,16
6,0,5,20711.62979674742,16496.10597688293,16612.580529262355,16,16
6,0,6,20955.704289447996,16446.894764240773,16567.99452970129,16,16
6,1,0,33825.78926787975,16533.508951594522,16626.66261733338,16,16
6,1,1,69394.08968268358,16510.535505359978,16608.346854385778,16,16
6,1,2,65999.12351945428,16504.389423958986,16606.85845627173,16,16
6,1,3,1.0802026571730983e+24,16632.766908379257,16739.89362397894,16,16
6,1,4,63026.1591419912,16501.26487832634,16613.04927721297,16,16
6,1,5,59472.67592492257,16479.825638135437,16596.26772030901,16,16
6,1,6,70693.12292854699,16443.877864976486,16564.94381642972,16,16
7,0,0,20900.926822135025,16506.352317693632,16604.163666719433,16,16
7,0,1,20761.614991304665,16457.374445692225,16559.84347800497,16,16
7,0,2,20757.46763496712,16453.241852420528,16560.36856802021,16,16
7,0,3,23847.531429548522,16640.04201684371,16751.82641573034,16,16
7,0,4,20755.073034052446,16441.59662249586,16558.038704669438,16,16
7,0,5,20720.1350911615,16448.15699684758,16569.2567623081,16,16
7,0,6,20960.469506061105,16421.780094725145,16547.5375434726,16,16
7,1,0,33609.33884207062,16480.33932118566,16578.123358897887,16,16
7,1,1,73376.90465667023,16472.035208822068,16574.475629282497,16,16
7,1,2,69737.29601011347,16471.54809448889,16578.64489769752,16,16
7,1,3,105147.32371345974,16480.738616044728,16592.49180200156,16,16
7,1,4,61853.035122609464,16461.651823222313,16578.061391927346,16,16
7,1,5,60952.36585712115,16437.46049888835,16558.526450341586,16,16
7,1,6,33866.48594183722,16445.07156011699,16570.793894318427,16,16
8,0,0,20897.623343356532,16441.617181474954,16544.057601935383,16,16
8,0,1,20905.15133799008,16439.788576689985,16546.885379898617,16,16
8,0,2,20791.753318542982,16420.120414967274,16531.873600924104,16,16
8,0,3,20623.610985402487,16408.61614212951,16525.025710834547,16,16
8,0,4,23224.40859714931,16446.578840394348,16567.644791847582,16,16
8,0,5,20710.39931127345,16413.599261684496,16539.32159588593,16,16
8,0,6,20888.5280361571,16393.791116780263,16524.169833729902,16,16
8,1,0,35529.74641646855,16448.269576762836,16550.681347195747,16,16
8,1,1,75922.30547162367,16445.033653801533,16552.100504708666,16,16
8,1,2,76649.87301599195,16442.43544185535,16554.157373236703,16,16
8,1,3,74361.5225983242,16450.20559931594,16566.58261117152,16,16
8,1,4,3.9792218187888665e+74,19526.166747964497,19647.198840294302,16,16
8,1,5,189662.08934254345,16541.232843400157,16666.92001620418,16,16
8,1,6,52876.771483968885,16419.400968593625,16549.743221871875,16,16
