StateCode,State,Model_Class,Rank,Order,Selection_RMSE,Holdout_RMSE,AIC,BIC
CAICLAIMS,California,ARIMA,1,"(8, 1, 0)",4599.133635902525,4599.133635902525,45577.50566745484,45627.87771739814
CAICLAIMS,California,ARIMA,2,"(4, 1, 0)",4602.985241855739,4602.985241855739,45662.46805716007,45690.45252935079
CAICLAIMS,California,ARIMA,3,"(5, 1, 0)",4621.719435484413,4621.719435484413,45658.3385222044,45691.91988883327
CAICLAIMS,California,ARIMA,4,"(7, 1, 0)",4635.105156724823,4635.105156724823,45604.58861581241,45649.36377131757
CAICLAIMS,California,ARIMA,5,"(6, 1, 0)",4664.117129392362,4664.117129392362,45609.98377109361,45649.162032160624
CAICLAIMS,California,ARIMA,6,"(0, 1, 3)",4681.732348056983,4681.732348056983,45644.78959685304,45667.17717460561
CAICLAIMS,California,ARIMA,7,"(0, 1, 2)",4682.994750714361,4682.994750714361,45710.97151914499,45727.762202459424
CAICLAIMS,California,ARIMA,8,"(3, 1, 0)",4688.866776928615,4688.866776928615,45709.97192455883,45732.3595023114
CAICLAIMS,California,ARIMA,9,"(0, 1, 4)",4756.924461166912,4756.924461166912,45560.17457129316,45588.15904348388
CAICLAIMS,California,ARIMA,10,"(2, 1, 2)",4764.089503912384,4764.089503912384,45571.389217977645,45599.373690168366
CAICLAIMS,California,Rolling-CV SARIMAX,1,"(0, 1, 1)",47304.28455663991,5712.828627762857,36588.53119332471,36642.91635177904
CAICLAIMS,California,Rolling-CV SARIMAX,2,"(1, 1, 0)",47526.39163077348,5723.092718494096,36835.70879548887,36890.09985036144
CAICLAIMS,California,Rolling-CV SARIMAX,3,"(0, 1, 0)",47813.57571195903,5751.057816432935,48112.08174824945,48161.03369763477
CAICLAIMS,California,Rolling-CV SARIMAX,4,"(0, 1, 5)",47894.91050930031,5066.3592524567985,36421.70504552413,36497.811198380376
CAICLAIMS,California,Rolling-CV SARIMAX,5,"(2, 1, 3)",48726.63894097141,4927.43470568918,36551.11018097035,36627.23287813577
CAICLAIMS,California,Rolling-CV SARIMAX,6,"(1, 1, 6)",49272.63990717447,4974.135072149954,36396.59565219567,36483.56465027855
CAICLAIMS,California,Rolling-CV SARIMAX,7,"(1, 1, 3)",49354.14609444854,4966.611646960136,36464.91141230938,36535.59677396299
CAICLAIMS,California,Rolling-CV SARIMAX,8,"(2, 1, 6)",49386.14522917277,4970.928674074937,36378.49175606264,36470.89631652571
CAICLAIMS,California,Rolling-CV SARIMAX,9,"(1, 1, 2)",49437.93780125033,4959.72105443827,36495.018606837126,36560.27371708224
CAICLAIMS,California,Rolling-CV SARIMAX,10,"(1, 1, 1)",49498.97471804751,4958.9625760273075,36539.81399093003,36599.637665229806
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,1,"(5, 0, 2)",30633.85350923208,9244.609325095267,17271.85106555526,17369.716928285146
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,2,"(1, 0, 3)",30707.56942958708,9679.986134010629,17297.201363181113,17381.109704882074
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,3,"(1, 0, 1)",30710.22093482957,9683.480992748939,17345.550746871275,17420.1773087423
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,4,"(1, 0, 2)",30728.180564168084,9682.445552950787,17324.093269105088,17403.362028230265
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,5,"(5, 0, 1)",30752.566983338853,9673.231448873581,17273.120593504147,17366.32617705642
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,6,"(1, 0, 0)",30757.912314164227,9686.073930242112,17426.958751846563,17496.940506989908
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,7,"(4, 0, 1)",30778.14003768256,9673.469225263458,17294.744545661648,17383.314461901555
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,8,"(2, 0, 6)",30796.01609059025,9666.638413585886,17230.47116193927,17332.94019425201
CAICLAIMS,California,Rolling-CV SARIMAX + Google Trends,9,"(2, 0, 0)",30813.160994257247,9681.57191786969,17354.93566167794,17429.56222354896
