p,d,q,AIC,BIC,RMSE
0,0,0,61186.0349699924,61197.22976263282,17012.869280933588
0,0,1,46747.1176356219,46763.90982458254,16975.569834149323
0,0,2,46280.16916448415,46302.558749765,16948.103560026622
0,0,3,45995.10391262027,46023.09089422133,16895.916139751673
0,0,4,45941.25723430523,45974.841612226504,16880.39099438329
0,0,5,45886.06309330463,45925.24486754611,16861.014174824366
0,0,6,45878.93789803369,45923.7170685954,16834.07821507634
0,1,0,45653.171052713216,45658.76794715136,4847.677004147292
0,1,1,45654.129884313574,45665.323673189865,4871.287197932199
0,1,2,45603.27628269434,45620.06696600878,4682.057064229455
0,1,3,45536.91068517459,45559.298262927165,4681.996402390248
0,1,4,45452.62198737184,45480.60645956256,4757.026442853918
0,1,5,45452.415256348206,45485.99662297707,4777.206782489599
0,1,6,45437.52721820802,45476.705479275035,4809.1577963513755
1,0,0,45525.37373457021,45542.16592353085,16373.435474529471
1,0,1,45503.474426876426,45525.864012157275,16520.66521169083
1,0,2,45502.748234785264,45530.735216386325,16449.653354408754
1,0,3,45502.36160690425,45535.94598482552,16289.369779481147
1,0,4,45450.81507137517,45489.99684561665,14286.193232105748
1,0,5,45452.074510266946,45496.85368082865,14168.43842999988
1,0,6,45440.93595817418,45491.3125250561,13792.095562751756
1,1,0,45654.38667191382,45665.58046079011,4865.520701042784
1,1,1,45504.46576177211,45521.25644508655,4799.116177978227
1,1,2,45458.893385314586,45481.28096306716,4784.661772807951
1,1,3,45457.53797718246,45485.52244937318,4791.744528705812
1,1,4,45447.92928829993,45481.510654928796,4803.2757224066245
1,1,5,45447.8224388559,45487.000699922915,4786.913761232191
1,1,6,45439.43283360232,45484.207989107475,4811.096377644347
2,0,0,45505.75204579088,45528.14163107173,16527.69180409556
2,0,1,45496.132344932164,45524.119326533226,16440.58878051747
2,0,2,45496.02731582872,45529.61169374999,16482.606271654935
2,0,3,45461.29383377402,45500.475608015506,13801.499821789308
2,0,4,45450.31576538379,45495.0949359455,13934.947108863118
2,0,5,45450.86016867432,45501.23673555624,13884.368991164109
2,0,6,45442.35874942704,45498.33271262917,13849.618124046885
2,1,0,45622.47730975338,45639.26799306782,4791.751947165033
2,1,1,45458.25216632522,45480.639744077795,4799.317272061413
2,1,2,45463.79690754299,45491.78137973371,4764.006259119371
2,1,3,45453.83949738207,45487.420864010935,4772.4913433776255
2,1,4,45440.69445672515,45479.87271779216,4783.358573286412
2,1,5,45442.59063004817,45487.36578555333,4780.876698119174
2,1,6,45441.231177082314,45491.60322702562,4806.657059018094
3,0,0,45502.54110430089,45530.528085901955,16448.956866083437
3,0,1,45496.02926387233,45529.61364179361,16486.64308805833
3,0,2,45498.00831324157,45537.19008748305,16485.717017568288
3,0,3,45490.40650845365,45535.185679015354,16506.491852651572
3,0,4,45444.054323650824,45494.43089053274,13839.007410832413
3,0,5,45446.05506087854,45502.02902408067,13838.806564409806
3,0,6,45448.51134359393,45510.08270311627,13826.347070708334
3,1,0,45602.40960177034,45624.79717952292,4688.434786060167
3,1,1,45458.85550388353,45486.839976074254,4809.474924639054
3,1,2,45450.296417968435,45483.8777845973,4785.062273983678
3,1,3,45442.5880700031,45481.76633107011,4846.395656651109
3,1,4,45440.73276038352,45485.50791588868,4782.570658138657
3,1,5,45436.385201685494,45486.7572516288,4804.857056325807
3,1,6,45440.85345636417,45496.822400745616,4813.001211090293
4,0,0,45501.87611393651,45535.46049185778,16378.260054656337
4,0,1,45497.9862646324,45537.16803887389,16480.106823020335
4,0,2,45459.8747346328,45504.65390519451,13636.697118657095
4,0,3,45496.82313372588,45547.199700607795,16478.80233727737
4,0,4,45444.9671807755,45500.94114397763,13797.897386813293
4,0,5,45442.80215906711,45504.373518589455,13697.796066989677
4,0,6,45439.87450281225,45507.043258654805,14265.124690885761
4,1,0,45554.95765330029,45582.94212549101,4602.761114154111
4,1,1,45453.586802672144,45487.16816930101,4839.198233782114
4,1,2,45440.74912673031,45479.927387797325,4811.151823491993
4,1,3,45437.62961624576,45482.40477175092,4793.461628721373
4,1,4,45437.27957137311,45487.651621316414,4817.193081339649
4,1,5,45438.94831137721,45494.91725575865,4829.809891301145
4,1,6,45441.048451893534,45502.61429071312,4848.514246256092
5,0,0,45483.22414213617,45522.405916377655,16135.13456500151
5,0,1,45478.96898532695,45523.74815588866,16256.469702261656
5,0,2,45441.97520664966,45492.351773531576,13967.060221402422
5,0,3,45440.44111042314,45496.41507362527,13940.31169777617
5,0,4,45438.29291709098,45499.86427661332,14167.477781841739
5,0,5,45442.10489077616,45509.27364661871,15023.008563345573
5,0,6,45438.63652290975,45511.40267507252,14553.063011989889
5,1,0,45550.79328069274,45584.37464732161,4621.50207855705
5,1,1,45454.30146836984,45493.479729436855,4818.671151351799
5,1,2,45442.11064598837,45486.885801493525,4798.052230591904
5,1,3,45438.019463168675,45488.39151311198,4801.1164428156635
5,1,4,45438.91750359665,45494.88644797809,4827.840996531638
5,1,5,45440.942605172444,45502.50844399203,4828.6483468094375
5,1,6,45440.894458861956,45508.05719211969,4772.481696676487
6,0,0,45485.08805637482,45529.86722693653,16113.943730257064
6,0,1,45479.49281445851,45529.869381340424,16193.188753218259
6,0,2,45456.17139829529,45512.14536149742,14051.508129167343
6,0,3,45438.654624588395,45500.22598411074,13411.951666555038
6,0,4,45438.89919389314,45506.0679497357,14215.503622221526
6,0,5,45439.13336277203,45511.8995149348,14867.155063487913
6,0,6,45440.969512891665,45519.333061374644,14559.560621242525
6,1,0,45502.547916587326,45541.72617765434,4663.8355321279505
