p,d,q,AIC,BIC,RMSE,status
0,0,0,36899.00494099555,36910.243407828006,681.0579212985343,success
0,0,1,34968.019547528704,34984.87724777738,678.4568079596418,success
0,0,2,34193.81266356958,34216.289597234485,676.2372697272461,success
0,0,3,34033.44604847586,34061.542215557,674.748641952052,success
0,1,0,34265.87712212987,34271.49586450754,199.2159149496615,success
0,1,1,34022.95871406721,34034.19619882255,205.72211080414823,success
0,1,2,33947.381094064775,33964.23732119778,197.8039052177725,success
0,1,3,33855.5569883049,33878.03195781558,197.68384625624307,success
1,0,0,34140.95373540971,34157.81143565839,652.942547496769,success
1,0,1,33782.34505335624,33804.82198702115,664.6392943065431,success
1,0,2,33781.26499102531,33809.36115810645,662.9724978227866,success
1,0,3,33770.33423773628,33804.04963823364,657.198901629399,success
1,1,0,34152.32215171783,34163.559636473175,198.36427940705624,success
1,1,1,33987.90689145349,34004.763118586496,200.26553162051204,success
1,1,2,33763.27959261638,33785.75456212706,380.47285455030493,success
1,1,3,33761.818037942474,33789.911749830826,388.9615219367608,success
2,0,0,33913.0951025319,33935.572036196805,667.8363919636517,success
2,0,1,33782.24618829465,33810.34235537579,663.6157959446433,success
2,0,2,33764.042608667514,33797.75800916488,595.9701959213443,success
2,0,3,33766.55576391571,33805.8903978293,659.764142238918,success
2,1,0,33926.32908504831,33943.18531218132,198.86965222084868,success
2,1,1,33920.04950355861,33942.52447306929,198.8439248316666,success
2,1,2,33761.834737768484,33789.928449656836,386.55071840516365,success
2,1,3,33760.79020982508,33794.5026640911,356.58388863444134,success
3,0,0,33800.96949085121,33829.06565793235,655.632061156981,success
3,0,1,33772.99339939631,33806.70879989368,659.7584407286549,success
3,0,2,33765.18436115069,33804.51899506428,661.4304924008961,success
3,0,3,33761.32558677384,33806.27945410366,599.332482063132,success
3,1,0,33925.33165272606,33947.80662223674,198.93904958135002,success
3,1,1,33919.27357893757,33947.367290825925,198.76106415005344,success
3,1,2,33760.84472092318,33794.557175189206,523.2202835988189,success
3,1,3,33751.11460960109,33790.44580624479,478.73227464452145,success
4,0,0,33775.49164419256,33809.20704468992,663.0218486906397,success
4,0,1,33772.48985428075,33811.82448819434,661.7405250954137,success
4,0,2,33767.17596827574,33812.129835605556,661.4485997078986,success
4,0,3,33769.18296895614,33819.75606970218,661.3446188765306,success
4,1,0,33883.92769102179,33912.02140291014,198.03195292864197,success
4,1,1,33759.02062520232,33792.733079468344,348.1636818342442,success
4,1,2,33756.96399422192,33796.29519086562,370.41053057412466,success
4,1,3,33752.20058774501,33797.15052676637,423.45181182464154,success
