p,d,q,AIC,BIC,RMSE,status
0,0,0,61563.54940813602,61619.518352517465,8728.09186657571,success
0,0,1,47020.840727916664,47082.40104326137,8717.311951327214,success
0,0,2,46608.992098763716,46676.14277777634,8715.29288589152,success
0,0,3,46351.6968551434,46424.4368897685,8688.012918642682,success
0,1,0,58889.60124916317,58945.56517220381,5879.9367882062315,success
0,1,1,45732.94044378613,45794.49523288103,5840.2954146475495,success
0,1,2,45647.553137664,45714.69778501025,6118.569456135368,success
0,1,3,45555.25247981286,45627.98597684667,5567.0345735008095,success
1,0,0,45682.012547032704,45743.57838585229,8593.544949182502,success
1,0,1,45642.45864176618,45709.61534941495,8612.31502738981,success
1,0,2,45574.81801986023,45647.56458879057,8527.436068607927,success
1,0,3,45525.048201712896,45603.38362361685,7896.578854810847,success
1,1,0,45755.626858957665,45817.18717430237,5851.350824559491,success
1,1,1,45589.12431560764,45656.27499462026,5063.926081849883,success
1,1,2,45506.86557734575,45579.60561197085,5060.504048250335,success
1,1,3,45482.90791644079,45561.23629786182,5066.613890198912,success
2,0,0,45648.24448443482,45715.40119208359,8608.698927987432,success
2,0,1,46037.42628875654,46110.17938870937,8612.133138791824,success
2,0,2,45506.30868160282,45584.651140450886,7538.58550584104,success
2,0,3,45484.41983018095,45568.35063936376,7514.561408970382,success
2,1,0,45694.35653643303,45761.50721544565,5963.038160862526,success
2,1,1,45531.01034512959,45603.75691405993,5106.069671800815,success
2,1,2,45509.069234564704,45587.40465646866,5014.304140198437,success
2,1,3,45475.56658999062,45559.48985579887,5028.901283095922,success
3,0,0,45588.433174373815,45661.17974330416,8579.942403697101,success
3,0,1,45590.05256066838,45668.39501951644,8595.924661224914,success
3,0,2,45652.88965836681,45736.828007132586,8241.758672884529,success
3,0,3,45587.30487512127,45676.831071582936,7284.32608523415,success
3,1,0,45652.793534083954,45725.533568709056,6137.073730315247,success
3,1,1,45508.24922588825,45586.5846477922,5117.2490759443235,success
3,1,2,45562.93480050877,45646.86560969157,5040.5654405882,success
3,1,3,45466.60735943436,45556.12550962983,5153.444033194966,success
4,0,0,45565.067482231374,45643.40290413533,8566.388755433843,success
4,0,1,45562.39486114948,45646.325670332284,8584.451755888605,success
4,0,2,45587.2786712526,45676.804867714265,7989.154433334271,success
4,0,3,45517.69782135903,45612.819405099544,7809.6542875146115,success
4,1,0,45582.12001263887,45660.4483940599,6271.878444046534,success
4,1,1,45478.0137682351,45561.937034043345,5133.4100425027145,success
4,1,2,45536.17286881385,45625.69101900931,5085.569869362875,success
4,1,3,45459.40664637224,45554.51968095492,5081.402100188453,success
