p,d,q,AIC,BIC,RMSE,status
0,0,0,36579.48901680952,36635.67644058623,537.1723822478209,success
0,0,1,34678.28099007273,34740.081752149374,532.0064312100845,success
0,0,2,33981.61486834076,34049.027983260065,527.8642974257592,success
0,0,3,33895.8905218031,33968.915003380265,527.1078242710585,success
0,1,0,34262.02972005148,34318.21223103025,638.727203723017,success
0,1,1,34004.47894465202,34066.274299994715,708.6020870317419,success
0,1,2,33908.4171281462,33975.824341909734,659.4638073672845,success
0,1,3,33793.87149227908,33866.889577792164,533.2802200739392,success
1,0,0,34141.95830766525,34203.764473819625,507.788661267942,success
1,0,1,33724.79972825288,33792.2187414274,516.6567456218771,success
1,0,2,33705.43934900979,33778.4702235057,514.2597313192646,success
1,0,3,33663.346977281006,33741.9887266718,509.421608451803,success
1,1,0,34151.264061160226,34213.06482323687,675.4101902179616,success
1,1,1,33968.007142666334,34035.42025758564,686.7353814600893,success
1,1,2,33722.0358312831,33795.06031286027,350.0114016070312,success
1,1,3,33707.55039754008,33786.18525886186,352.054707473598,success
2,0,0,33907.9886157932,33975.40762896772,518.3210074028074,success
2,0,1,33723.35773847188,33796.39500274428,514.6563246029175,success
2,0,2,33681.930835291,33760.57946936352,444.3206447497652,success
2,0,3,33660.31683873228,33744.5758559367,509.0690759300448,success
2,1,0,33902.12111791456,33969.53423283387,668.4027805225052,success
2,1,1,33895.99731005073,33969.02818454664,672.5345273128951,success
2,1,2,33724.017551205434,33802.65930059623,351.8047709742717,success
2,1,3,33703.42728724227,33787.67892437275,335.8988732374334,success
3,0,0,33727.07131499494,33800.10218949085,512.3049304424986,success
3,0,1,33683.832114082354,33762.48074815487,510.8235658720327,success
3,0,2,33676.657261542,33760.92365519113,511.40415169639164,success
3,0,3,33658.441665939135,33748.317950957186,480.73159538874063,success
3,1,0,33885.58567034994,33958.6101519271,671.721484446962,success
3,1,1,33879.335120176765,33957.97686956756,670.0950631772138,success
3,1,2,33719.55820271712,33803.81721992154,428.7335301166273,success
3,1,3,33693.16753467858,33783.035947617755,1257.5224736384887,success
4,0,0,33674.080756689036,33752.72250607983,515.3734207736862,success
4,0,1,33667.402768876986,33751.66178608141,510.9912123143309,success
4,0,2,33662.68432860773,33752.56061362578,512.6285011876474,success
4,0,3,33642.59622845761,33738.089781289294,349.92006228638706,success
4,1,0,33826.74030832169,33905.37516964347,644.9764649201778,success
4,1,1,33702.18833486256,33786.43997199304,330.436109821908,success
4,1,2,33699.94147666196,33789.809889601136,343.4693896728354,success
4,1,3,33694.761894176096,33790.24708292397,378.6137791506181,success
