p,d,q,AIC,BIC,RMSE
0,0,0,61340.25243495029,61351.44722759072,16986.460444744127
0,0,1,46858.27397637281,46875.06616533345,16949.21526319146
0,0,2,46390.159684542785,46412.549269823634,16921.864988863334
0,0,3,46104.064954077025,46132.051935678086,16869.650702923347
0,0,4,46050.09032183903,46083.674699760304,16854.143059923656
0,0,5,45994.80003965488,46033.98181389637,16834.919122435465
0,0,6,45987.629523142496,46032.4086937042,16808.060746575695
0,1,0,45760.722028245946,45766.31892268409,4847.677004147292
0,1,1,45761.61233142539,45772.806120301684,4872.092955328174
0,1,2,45710.97151914498,45727.76220245942,4682.994750999083
0,1,3,45644.78959685295,45667.177174605524,4681.732347252779
0,1,4,45560.174571293224,45588.159043483945,4756.924461175801
0,1,5,45559.9723258238,45593.55369245267,4777.1234657746045
0,1,6,45545.01036634921,45584.188627416224,4809.308961904775
1,0,0,45633.240872326474,45650.03306128711,16346.735243028272
1,0,1,45611.08179513422,45633.47138041507,16494.55556999052
1,0,2,45610.37049011797,45638.357471719035,16423.58986575805
1,0,3,45610.030511454795,45643.61488937607,16263.797438463433
1,0,4,45558.37756353928,45597.55933778077,14265.15677439054
1,0,5,45559.63896978312,45604.418140344824,14147.755281448712
1,0,6,45548.435261275605,45598.81182815752,13770.25077226217
1,1,0,45761.8906059925,45773.08439486879,4866.1483578173165
1,1,1,45612.29063673521,45629.08132004965,4800.276054906765
1,1,2,45566.45600748426,45588.843585236835,4784.782880821303
1,1,3,45565.11813592844,45593.10260811916,4791.875494066922
1,1,4,45555.47181750917,45589.053184138036,4803.383458387944
1,1,5,45555.350121946176,45594.52838301319,4786.951796143328
1,1,6,45546.91654998719,45591.69170549235,4811.212987678213
2,0,0,45613.3787552523,45635.76834053315,16501.781882890475
2,0,1,45603.71586196745,45631.70284356851,16414.260154137417
2,0,2,45603.57904190465,45637.16341982593,16456.865432607607
2,0,3,45568.936011601865,45608.11778584335,13781.548644673054
2,0,4,45557.877441911674,45602.65661247338,13913.622575859104
2,0,5,45558.410051570565,45608.78661845248,13867.988127282144
2,0,6,45549.85925958661,45605.83322278874,13828.655496093843
2,1,0,45729.995144440014,45746.78582775445,4792.258632043768
2,1,1,45565.75068826965,45588.13826602222,4799.514546487533
2,1,2,45571.389217977885,45599.373690168606,4764.089486556549
2,1,3,45561.418126325225,45594.99949295409,4772.553317883496
2,1,4,45548.19670202851,45587.37496309552,4783.4194920318805
2,1,5,45550.091974631345,45594.8671301365,4780.915769948317
2,1,6,45548.71554882297,45599.08759876627,4806.780042339609
3,0,0,45610.1623830098,45638.149364610865,16422.98146658084
3,0,1,45603.57855346425,45637.16293138552,16460.64664144822
3,0,2,45605.558393713596,45644.74016795508,16459.710982208573
3,0,3,45597.874333859996,45642.6535044217,16480.494198529483
3,0,4,45551.57219483535,45601.94876171727,13816.028784346663
3,0,5,45553.57285280084,45609.54681600297,13820.038389313584
3,0,6,45552.0007258863,45613.57208540864,14038.00511966869
3,1,0,45709.97192455883,45732.3595023114,4688.866776928615
3,1,1,45566.351904369294,45594.336376560015,4809.675253869482
3,1,2,45557.81786511226,45591.399231741125,4785.156624884694
3,1,3,45550.08004527292,45589.258306339936,4846.416585952891
3,1,4,45548.21790491903,45592.99306042419,4782.655668305805
3,1,5,45546.769186552236,45597.14123649554,4783.174598075805
3,1,6,45548.33020269504,45604.29914707648,4812.38331314654
4,0,0,45609.50729354609,45643.091671467366,16352.602865705141
4,0,1,45605.537986906784,45644.71976114827,16454.372489011348
4,0,2,45565.978709849354,45610.75788041106,13734.754493196546
4,0,3,45604.34157536972,45654.71814225164,16452.662582553767
4,0,4,45552.47056248125,45608.44452568338,13757.341210225846
4,0,5,45551.24497439469,45612.816333917035,13786.498141187398
4,0,6,45547.3678000597,45614.536555902254,14259.213095293935
4,1,0,45662.46805716006,45690.45252935078,4602.985241835011
4,1,1,45561.09434967955,45594.67571630842,4839.471263608744
4,1,2,45548.206719771086,45587.3849808381,4811.3132301214755
4,1,3,45545.078823006144,45589.8539785113,4793.5498112893665
4,1,4,45544.72567866376,45595.09772860706,4817.326393612625
4,1,5,45546.38295235404,45602.35189673548,4827.805798971009
4,1,6,45548.52613668798,45610.09197550757,4847.770736470785
5,0,0,45590.800985381706,45629.98275962319,16109.672176752229
5,0,1,45586.466424721104,45631.24559528281,16230.689190868838
5,0,2,45549.483792976745,45599.86035985866,13944.576863248438
5,0,3,45547.937899276585,45603.911862478715,13930.837305306193
5,0,4,45545.78544319245,45607.35680271479,14189.866857873745
5,0,5,45549.46245153488,45616.63120737743,14959.616939971736
5,0,6,45546.10093455203,45618.867086714796,14526.790587350295
