p,d,q,CV_RMSE,CV_AIC,CV_BIC,n_success,n_splits
0,0,0,82854.28427543554,51751.24387173183,51800.201124748644,17,17
0,0,1,82589.97929125655,39640.574447186664,39694.96550205923,17,17
0,0,2,82270.21403961965,39275.16631530491,39334.989989604685,17,17
0,0,3,82119.02860056984,39098.45047983089,39163.70559007601,17,17
0,0,4,81876.67773592134,39068.87440261558,39139.55976426919,17,17
0,0,5,81958.71929072663,39005.881772138506,39081.996199607085,17,17
0,0,6,81948.78005166014,38970.22325641844,39051.76556305013,17,17
0,1,0,48233.196959895606,48112.162946906006,48161.114896291336,17,17
0,1,1,47712.63398445613,36588.56966570378,36642.95482415813,17,17
0,1,2,55833.22998787287,36543.2057627841,36603.022947175465,17,17
0,1,3,55318.21324182411,36496.6558966908,36561.903922832586,17,17
0,1,4,53867.9351349494,36445.04814026031,36515.7258229097,17,17
0,1,5,48303.71911396774,36424.06181901773,36500.167971873954,17,17
0,1,6,50320.75534415448,36397.5252725208,36479.05870822351,17,17
1,0,0,73326.40702225547,37087.07837340987,37141.475321206344,17,17
1,0,1,64511.75794799539,36584.171302607916,36644.00146296775,17,17
1,0,2,64283.33679603647,36550.94540929994,36616.20759944515,17,17
1,0,3,57543.653825512636,36511.445720144984,36582.13875624386,17,17
1,0,4,56858.700180041815,36453.19172494984,36529.31442211527,17,17
1,0,5,56924.13413208323,36432.8951994454,36514.44637173315,17,17
1,0,6,57634.12693209109,36399.582964176836,36486.56142458397,17,17
1,1,0,47925.94547618729,36835.7506194124,36890.141674284976,17,17
1,1,1,49787.14035888123,36541.51455916533,36601.33823346511,17,17
1,1,2,49645.12579999181,36497.52278457492,36562.777894820036,17,17
1,1,3,49546.19306433207,36467.10703086555,36537.79239251914,17,17
1,1,4,50279.81768913121,36441.06334685563,36517.17777432422,17,17
1,1,5,50321.95552646889,36421.04816736017,36502.59047399185,17,17
1,1,6,49664.50768851445,36398.650163565995,36485.61916164887,17,17
2,0,0,68576.4982629438,36792.25039524087,36852.0805556007,17,17
2,0,1,64406.60180347183,36578.58476349719,36643.85402934427,17,17
2,0,2,59183.23471765336,36573.59888006235,36644.299586053,17,17
2,0,3,56503.08287411537,36485.15066960402,36561.28163155666,17,17
2,0,4,56330.41024558737,36449.13147997128,36530.691512648504,17,17
2,0,5,56381.51103553113,36429.0146177198,36516.00253482675,17,17
2,0,6,56977.163497456175,36394.410422200504,36486.825036383074,17,17
2,1,0,50686.94784500919,36738.974065601295,36798.79773990107,17,17
2,1,1,51087.5676259655,36521.038067546164,36586.300257691386,17,17
2,1,2,60247.496528903794,36490.343563236376,36561.036599335246,17,17
2,1,3,48985.64600354298,36554.06153410621,36630.18423127163,17,17
2,1,4,56343.309769218846,36437.15758557183,36518.7087578596,17,17
2,1,5,49509.066268722396,36401.94722972552,36488.92569013266,17,17
2,1,6,49343.47062338397,36380.533962707355,36472.938523170415,17,17
3,0,0,66860.40555171696,36708.12209145545,36773.384281600665,17,17
3,0,1,64447.859152807,36559.01864327725,36629.71934926791,17,17
3,0,2,60598.94712746319,36554.009982615964,36630.14920445205,17,17
3,0,3,56478.37396018271,36682.79216173903,36764.36104954543,17,17
3,0,4,56570.35844467136,36451.26550050133,36538.26286869039,17,17
3,0,5,58638.647219227634,36429.89418269528,36522.31884462141,17,17
3,0,6,56792.684399603684,36388.203757198,36486.05452515603,17,17
3,1,0,54531.86569798982,36633.19890759079,36698.45401783592,17,17
3,1,1,51632.81304860633,36495.530220862354,36566.22325696123,17,17
3,1,2,49902.21143247821,36505.64111363868,36581.77207559132,17,17
3,1,3,52164.385723485706,36472.030585357825,36553.590618035065,17,17
3,1,4,60582.61601730742,36430.12582574154,36517.11374284849,17,17
3,1,5,59219.63772241968,36400.674093996924,36493.08870817949,17,17
3,1,6,61017.51153057344,36372.32057909065,36470.16070193389,17,17
4,0,0,65630.95271976311,36611.79490966576,36682.48794576463,17,17
4,0,1,64459.19787074008,36523.797495034116,36599.928456986745,17,17
4,0,2,59491.71737239519,36516.277551215695,36597.84643902209,17,17
4,0,3,58425.78682264705,36531.827640657095,36618.83445431724,17,17
4,0,4,56484.412701576315,36447.95920731229,36540.39391101316,17,17
4,0,5,59565.43631713338,36432.340838461045,36530.20224520636,17,17
4,0,6,56697.84373880726,36385.82280156794,36489.109723301415,17,17
4,1,0,62144.48632330126,36561.498887663794,36632.184249317404,17,17
4,1,1,53307.11257463816,36469.28946549242,36545.412162657834,17,17
4,1,2,54794.373643496445,36495.678830716235,36577.23886339348,17,17
4,1,3,51412.942056224856,36510.81267304885,36597.810041237906,17,17
4,1,4,57162.01946847596,36422.1262054864,36514.55086741252,17,17
4,1,5,61273.96532115664,36397.90609212766,36495.75686008568,17,17
4,1,6,61210.734488558344,36387.0700146571,36490.345699880534,17,17
5,0,0,65482.77776585296,36553.378406078344,36629.501103243754,17,17
5,0,1,64875.165523607284,36490.18262905538,36571.74266173262,17,17
5,0,2,56698.06955266249,36456.32521802413,36543.32258621318,17,17
5,0,3,57111.78529132559,36478.79601189646,36571.23071559733,17,17
5,0,4,3659250.999639785,36430.65285493384,36528.52489414653,17,17
5,0,5,58544.22506394463,36687.68143691372,36790.979588478214,17,17
5,0,6,56637.76295782538,36394.2507688204,36502.97384432931,17,17
5,1,0,59896.14179515491,36532.19938739936,36608.31381486794,17,17
5,1,1,52225.038717412484,36449.691270946576,36531.24244323435,17,17
5,1,2,51360.58965311001,36452.87255439377,36539.86047150071,17,17
5,1,3,51101.560852351286,36633.00589744284,36725.43055936897,17,17
5,1,4,62719.25792472381,36456.46567575152,36554.32708249684,17,17
5,1,5,64582.932870349054,36404.90776325286,36508.19468498632,17,17
5,1,6,63661.37911732692,36388.55883093168,36497.27007853528,17,17
6,0,0,65323.45018809449,36525.37185630959,36606.92302859735,17,17
6,0,1,64723.645102978284,36470.67980788625,36557.667724993196,17,17
6,0,2,56348.22924074149,36420.10209777424,36512.526759700384,17,17
6,0,3,5.334437130891148e+28,38915.80899949447,39013.67040623978,17,17
6,0,4,4214676.803451535,36492.180834991006,36595.47898655551,17,17
6,0,5,9391276.01065321,36384.474025376585,36493.20892176026,17,17
6,0,6,2018418.5797412049,36377.361033552246,36491.5202628366,17,17
6,1,0,58726.330576515116,36498.089335649114,36579.63164228081,17,17
6,1,1,51802.50977301013,36421.5500724064,36508.528532813536,17,17
